Owner;Name;Type;Static;Final;Array;Access;Note
java.lang.Thread;inheritedAccessControlContext;AccessControlContext;FALSE;FALSE;FALSE;private;
jdk.internal.loader.URLClassPath;acc;AccessControlContext;FALSE;TRUE;FALSE;private;
java.security.AccessControlContext;parent;AccessControlContext;FALSE;FALSE;FALSE;private;
jdk.internal.misc.InnocuousThread;ACC;AccessControlContext;TRUE;TRUE;FALSE;private;never returned
java.security.AccessControlContext;privilegedContext;AccessControlContext;FALSE;FALSE;FALSE;private;
java.lang.invoke.VarHandle;at;AccessType;FALSE;TRUE;FALSE;package;
java.lang.Class;annotationData;AnnotationData;FALSE;FALSE;FALSE;private;
java.lang.Class;annotationType;AnnotationType;FALSE;FALSE;FALSE;private;
jdk.internal.loader.ClassLoaders;APP_LOADER;AppClassLoader;TRUE;TRUE;FALSE;private;modifier methods inaccessible from outside
jdk.internal.loader.URLClassPath;unopenedUrls;ArrayDeque<URL>;FALSE;TRUE;FALSE;private;
jdk.internal.loader.URLClassPath;loaders;ArrayList<Loader>;FALSE;TRUE;FALSE;private;
jdk.internal.loader.URLClassPath;path;ArrayList<URL>;FALSE;TRUE;FALSE;private;
java.lang.invoke.MutableCallSite;STORE_BARRIER;AtomicInteger;TRUE;TRUE;FALSE;private;never returned
jdk.internal.misc.InnocuousThread;threadNumber;AtomicInteger;TRUE;TRUE;FALSE;private;never returned
java.lang.ThreadLocal;nextHashCode;AtomicInteger;TRUE;FALSE;FALSE;private;never returned
java.util.jar.Manifest;attr;Attributes;FALSE;TRUE;FALSE;private;
java.util.Locale;baseLocale;BaseLocale;FALSE;FALSE;FALSE;private;
java.lang.invoke.VarHandle;AIOOBE_SUPPLIER;BiFunction<String,List<Integer>,ArrayIndexOutOfBoundsException>;TRUE;TRUE;FALSE;package;immutable value
java.io.OutputStream;closed;boolean;FALSE;FALSE;FALSE;private;
java.io.ObjectStreamField;unshared;boolean;FALSE;TRUE;FALSE;private;
java.lang.SecurityManager;packageDefinitionValid;boolean;TRUE;FALSE;FALSE;private;immutable type
jdk.internal.loader.URLClassPath;DEBUG;boolean;TRUE;TRUE;FALSE;private;immutable type
java.lang.reflect.Executable;hasRealParameterData;boolean;FALSE;FALSE;FALSE;private;
java.security.AccessControlContext;isPrivileged;boolean;FALSE;FALSE;FALSE;private;
java.nio.ByteBuffer;nativeByteOrder;boolean;FALSE;FALSE;FALSE;package;
java.lang.module.ModuleDescriptor;strict;boolean;FALSE;TRUE;FALSE;package;
jdk.internal.misc.VM;pageAlignDirectMemory;boolean;TRUE;FALSE;FALSE;private;immutable type
jdk.internal.loader.URLClassPath;DISABLE_ACC_CHECKING;boolean;TRUE;TRUE;FALSE;private;immutable type
java.lang.module.ModuleDescriptor;open;boolean;FALSE;TRUE;FALSE;private;
java.io.PrintStream;autoFlush;boolean;FALSE;TRUE;FALSE;private;
java.lang.Thread;stillborn;boolean;FALSE;FALSE;FALSE;private;
sun.launcher.LauncherHelper;isCharsetSupported;boolean;TRUE;FALSE;FALSE;private;immutable type
java.lang.reflect.AccessibleObject;override;boolean;FALSE;FALSE;FALSE;package;
java.lang.reflect.AccessibleObject;printStackPropertiesSet;boolean;TRUE;FALSE;FALSE;private;immutable type
java.io.InputStream;closed;boolean;FALSE;FALSE;FALSE;private;
java.nio.ByteBuffer;bigEndian;boolean;FALSE;FALSE;FALSE;package;
java.io.FileOutputStream;closed;boolean;FALSE;FALSE;FALSE;private;
java.util.Collections;hasNext;boolean;FALSE;FALSE;FALSE;private;
java.lang.Boolean;value;boolean;FALSE;TRUE;FALSE;private;
jdk.internal.loader.URLClassPath;DISABLE_JAR_CHECKING;boolean;TRUE;TRUE;FALSE;private;immutable type
java.util.LinkedHashMap;accessOrder;boolean;FALSE;TRUE;FALSE;package;
java.io.FileDescriptor;closed;boolean;FALSE;FALSE;FALSE;private;
jdk.internal.misc.InnocuousThread;hasRun;boolean;FALSE;FALSE;FALSE;private;
java.security.AccessControlContext;isLimited;boolean;FALSE;FALSE;FALSE;private;
jdk.internal.reflect.ReflectionFactory;noInflation;boolean;TRUE;FALSE;FALSE;private;immutable type
java.security.AccessControlContext;isWrapped;boolean;FALSE;FALSE;FALSE;private;
java.security.Permissions;hasUnresolved;boolean;FALSE;FALSE;FALSE;private;
jdk.internal.module.IllegalAccessLogger;complete;boolean;FALSE;FALSE;FALSE;private;
java.security.PermissionCollection;readOnly;boolean;FALSE;FALSE;FALSE;private;
java.lang.Boolean;FALSE;Boolean;TRUE;TRUE;FALSE;public;immutable type
jdk.internal.loader.URLClassPath;DISABLE_CP_URL_CHECK;boolean;TRUE;TRUE;FALSE;private;immutable type
java.lang.module.ModuleDescriptor;automatic;boolean;FALSE;TRUE;FALSE;package;
sun.security.util.LazyCodeSourcePermissionCollection;permissionAdded;boolean;FALSE;FALSE;FALSE;private;
java.security.BasicPermission;wildcard;boolean;FALSE;FALSE;FALSE;private;
java.lang.ThreadGroup;destroyed;boolean;FALSE;FALSE;FALSE;package;
sun.nio.cs.StreamEncoder;closed;boolean;FALSE;FALSE;FALSE;private;
java.lang.StackWalker;retainClassRef;boolean;FALSE;TRUE;FALSE;package;
java.nio.ByteBuffer;isReadOnly;boolean;FALSE;FALSE;FALSE;package;
java.lang.SecurityManager;packageAccessValid;boolean;TRUE;FALSE;FALSE;private;immutable type
java.lang.ref.Reference;processPendingActive;boolean;TRUE;FALSE;FALSE;private;immutable type
sun.nio.cs.StandardCharsets;initialized;boolean;FALSE;FALSE;FALSE;private;
