Owner;Name;Type;Final;Array;Access
java.io.WinNTFileSystem;driveDirCache;String[];FALSE;TRUE;private
java.lang.AbstractStringBuilder;EMPTYVALUE;byte[];TRUE;TRUE;private
java.lang.Byte.ByteCache;cache;Byte[];TRUE;TRUE;package
java.lang.Character.CharacterCache;cache;Character[];TRUE;TRUE;package
java.lang.Character.UnicodeBlock;blocks;UnicodeBlock[];TRUE;TRUE;private
java.lang.Character.UnicodeBlock;blockStarts;int[];TRUE;TRUE;private
java.lang.Character.UnicodeScript;scripts;UnicodeScript[];TRUE;TRUE;private
java.lang.Character.UnicodeScript;scriptStarts;int[];TRUE;TRUE;private
java.lang.CharacterDataLatin1;DIGITS;byte[];TRUE;TRUE;private
java.lang.CharacterDataLatin1;sharpsMap;char[];FALSE;TRUE;package
java.lang.CharacterDataLatin1;B;char[];TRUE;TRUE;package
java.lang.CharacterDataLatin1;A;int[];TRUE;TRUE;package
java.lang.Class;serialPersistentFields;ObjectStreamField[];TRUE;TRUE;private
java.lang.Class;EMPTY_CLASS_ARRAY;Class<?>[];TRUE;TRUE;private
java.lang.ClassLoader;nocerts;Certificate[];TRUE;TRUE;private
java.lang.ClassLoader;usr_paths;String[];FALSE;TRUE;private
java.lang.ClassLoader;sys_paths;String[];FALSE;TRUE;private
java.lang.Integer;DigitTens;byte[];TRUE;TRUE;package
java.lang.Integer;sizeTable;int[];TRUE;TRUE;package
java.lang.Integer;digits;char[];TRUE;TRUE;package
java.lang.Integer;DigitOnes;byte[];TRUE;TRUE;package
java.lang.Integer.IntegerCache;cache;Integer[];TRUE;TRUE;package
java.lang.invoke.DirectMethodHandle;ALL_WRAPPERS;Wrapper[];TRUE;TRUE;private
java.lang.invoke.DirectMethodHandle;ACCESSOR_FORMS;LambdaForm[];TRUE;TRUE;private
java.lang.invoke.DirectMethodHandle;NFS;NamedFunction[];TRUE;TRUE;private
java.lang.invoke.LambdaForm;INTERNED_ARGUMENTS;Name[][];TRUE;TRUE;private
java.lang.invoke.LambdaForm;LF_identity;LambdaForm[];TRUE;TRUE;private
java.lang.invoke.LambdaForm;NF_zero;NamedFunction[];TRUE;TRUE;private
java.lang.invoke.LambdaForm;NF_identity;NamedFunction[];TRUE;TRUE;private
java.lang.invoke.LambdaForm;LF_zero;LambdaForm[];TRUE;TRUE;private
java.lang.invoke.LambdaForm.BasicType;ARG_TYPES;BasicType[];TRUE;TRUE;package
java.lang.invoke.LambdaForm.BasicType;ALL_TYPES;BasicType[];TRUE;TRUE;package
java.lang.invoke.MethodType;NO_PTYPES;Class<?>[];TRUE;TRUE;package
java.lang.invoke.MethodType;objectOnlyTypes;MethodType[];TRUE;TRUE;private
java.lang.invoke.MethodType;METHOD_HANDLE_ARRAY;Class<?>[];TRUE;TRUE;private
java.lang.invoke.MethodType;serialPersistentFields;java.io.ObjectStreamField[];TRUE;TRUE;private
java.lang.LiveStackFrameInfo;EMPTY_ARRAY;Object[];FALSE;TRUE;private
java.lang.Long.LongCache;cache;Long[];TRUE;TRUE;package
java.lang.SecurityManager;packageAccess;String[];FALSE;TRUE;private
java.lang.SecurityManager;packageDefinition;String[];FALSE;TRUE;private
java.lang.Short.ShortCache;cache;Short[];TRUE;TRUE;package
java.lang.Shutdown;hooks;Runnable[];TRUE;TRUE;private
java.lang.String;serialPersistentFields;ObjectStreamField[];TRUE;TRUE;private
java.lang.StringBuffer;serialPersistentFields;java.io.ObjectStreamField[];TRUE;TRUE;private
java.lang.Thread;EMPTY_STACK_TRACE;StackTraceElement[];TRUE;TRUE;private
java.lang.Throwable;UNASSIGNED_STACK;StackTraceElement[];TRUE;TRUE;private
java.lang.Throwable;EMPTY_THROWABLE_ARRAY;Throwable[];TRUE;TRUE;private
java.lang.Throwable.SentinelHolder;STACK_TRACE_SENTINEL;StackTraceElement[];TRUE;TRUE;public
java.net.URI;hexDigits;char[];TRUE;TRUE;private
java.net.URL;serialPersistentFields;ObjectStreamField[];TRUE;TRUE;private
java.nio.charset.Charset;zeroAliases;String[];TRUE;TRUE;private
java.nio.charset.Charset;cache1;Object[];FALSE;TRUE;private
java.nio.charset.Charset;cache2;Object[];FALSE;TRUE;private
java.nio.charset.Charset.ExtendedProviderHolder;extendedProviders;CharsetProvider[];TRUE;TRUE;package
java.nio.charset.CharsetDecoder;stateNames;String[];FALSE;TRUE;private
java.nio.charset.CharsetEncoder;stateNames;String[];FALSE;TRUE;private
java.security.BasicPermissionCollection;serialPersistentFields;ObjectStreamField[];TRUE;TRUE;private
java.security.Permissions;serialPersistentFields;ObjectStreamField[];TRUE;TRUE;private
java.security.UnresolvedPermission;PARAMS2;Class<?>[];TRUE;TRUE;private
java.security.UnresolvedPermission;PARAMS0;Class<?>[];TRUE;TRUE;private
java.security.UnresolvedPermission;PARAMS1;Class<?>[];TRUE;TRUE;private
java.util.ArrayList;DEFAULTCAPACITY_EMPTY_ELEMENTDATA;Object[];TRUE;TRUE;private
java.util.ArrayList;EMPTY_ELEMENTDATA;Object[];TRUE;TRUE;private
java.util.concurrent.ConcurrentHashMap;serialPersistentFields;ObjectStreamField[];TRUE;TRUE;private
java.util.Locale;isoLanguages;String[];FALSE;TRUE;private
java.util.Locale;isoCountries;String[];FALSE;TRUE;private
java.util.Locale;serialPersistentFields;ObjectStreamField[];TRUE;TRUE;private
java.util.Properties;hexDigit;char[];TRUE;TRUE;private
sun.net.util.IPAddressUtil;OTHERS;char[];TRUE;TRUE;private
sun.net.www.ParseUtil;hexDigits;char[];TRUE;TRUE;private
sun.nio.cs.IBM437;c2b;char[];TRUE;TRUE;private
sun.nio.cs.IBM437;c2bIndex;char[];TRUE;TRUE;private
sun.nio.cs.IBM437;b2c;char[];TRUE;TRUE;private
sun.nio.cs.MS1252;b2c;char[];TRUE;TRUE;private
sun.nio.cs.MS1252;c2b;char[];TRUE;TRUE;private
sun.nio.cs.MS1252;c2bIndex;char[];TRUE;TRUE;private
sun.nio.cs.StandardCharsets;aliases_SJIS;String[];FALSE;TRUE;package
sun.nio.cs.StandardCharsets;aliases_MS932;String[];FALSE;TRUE;package
sun.security.util.Debug;hexDigits;char[];TRUE;TRUE;private
