Owner;Name;Type;Final;Array;Access
java.lang.CharacterDataLatin1;instance;CharacterDataLatin1;TRUE;FALSE;package
java.lang.Class.ReflectionData;NULL_SENTINEL;String;TRUE;FALSE;package
java.lang.ClassLoader.NativeLibrary;nativeLibraryContext;Deque<NativeLibrary>;FALSE;FALSE;package
java.lang.ClassLoader.NativeLibrary.Unloader;UNLOADER;NativeLibrary;TRUE;FALSE;package
java.lang.invoke.DirectMethodHandle.EnsureInitialized;INSTANCE;EnsureInitialized;TRUE;FALSE;package
java.lang.invoke.LambdaForm.NamedFunction;INVOKER_METHOD_TYPE;MethodType;TRUE;FALSE;package
java.lang.invoke.MemberName;CONSTRUCTOR_NAME;String;TRUE;FALSE;package
java.lang.invoke.MemberName.Factory;INSTANCE;Factory;FALSE;FALSE;package
java.lang.invoke.MethodHandleStatics;UNSAFE;Unsafe;TRUE;FALSE;package
java.lang.invoke.MethodType;internTable;ConcurrentWeakInternSet<MethodType>;TRUE;FALSE;package
java.lang.invoke.VarHandle;AIOOBE_SUPPLIER;BiFunction<String,List<Integer>,ArrayIndexOutOfBoundsException>;TRUE;FALSE;package
java.lang.invoke.VarHandle.AccessMode;methodNameToAccessMode;Map<String,AccessMode>;TRUE;FALSE;package
java.lang.Math.RandomNumberGeneratorHolder;randomNumberGenerator;Random;TRUE;FALSE;package
java.lang.Module.ReflectionData;reads;WeakPairMap<Module,Module,Boolean>;TRUE;FALSE;package
java.lang.Module.ReflectionData;exports;WeakPairMap<Module,Module,Map<String,Boolean>>;TRUE;FALSE;package
java.lang.Module.ReflectionData;uses;WeakPairMap<Module,Class<?>,Boolean>;TRUE;FALSE;package
java.lang.Package.VersionInfo;NULL_VERSION_INFO;VersionInfo;TRUE;FALSE;package
java.lang.ref.ReferenceQueue;NULL;ReferenceQueue<Object>;TRUE;FALSE;package
java.lang.ref.ReferenceQueue;ENQUEUED;ReferenceQueue<Object>;TRUE;FALSE;package
java.lang.reflect.AccessibleObject;reflectionFactory;ReflectionFactory;TRUE;FALSE;package
java.lang.Runtime.VersionPattern;OPT_GROUP;String;TRUE;FALSE;package
java.lang.Runtime.VersionPattern;VNUM_GROUP;String;TRUE;FALSE;package
java.lang.Runtime.VersionPattern;PLUS_GROUP;String;TRUE;FALSE;package
java.lang.Runtime.VersionPattern;PRE_GROUP;String;TRUE;FALSE;package
java.lang.Runtime.VersionPattern;VSTR_PATTERN;Pattern;TRUE;FALSE;package
java.lang.Runtime.VersionPattern;BUILD_GROUP;String;TRUE;FALSE;package
java.lang.StackTraceElement.HashedModules;HASHED_MODULES;Set<String>;FALSE;FALSE;package
java.lang.StackWalker;DEFAULT_EMPTY_OPTION;EnumSet<Option>;TRUE;FALSE;package
java.lang.System;bootLayer;ModuleLayer;FALSE;FALSE;package
java.lang.System.LoggerFinder;LOGGERFINDER_PERMISSION;RuntimePermission;TRUE;FALSE;package
java.lang.Thread.Caches;subclassAuditsQueue;ReferenceQueue<Class<?>>;TRUE;FALSE;package
java.lang.Thread.Caches;subclassAudits;ConcurrentMap<WeakClassKey,Boolean>;TRUE;FALSE;package
java.net.URL;BUILTIN_HANDLERS_PREFIX;String;TRUE;FALSE;package
java.net.URL;handlers;Hashtable<String,URLStreamHandler>;FALSE;FALSE;package
java.nio.Buffer;UNSAFE;Unsafe;TRUE;FALSE;package
java.security.AccessController.AccHolder;innocuousAcc;AccessControlContext;TRUE;FALSE;package
java.util.Arrays.NaturalOrder;INSTANCE;NaturalOrder;TRUE;FALSE;package
java.util.Collections.EmptyEnumeration;EMPTY_ENUMERATION;EmptyEnumeration<Object>;TRUE;FALSE;package
java.util.Collections.EmptyIterator;EMPTY_ITERATOR;EmptyIterator<Object>;TRUE;FALSE;package
java.util.Collections.EmptyListIterator;EMPTY_ITERATOR;EmptyListIterator<Object>;TRUE;FALSE;package
java.util.Collections.ReverseComparator;REVERSE_ORDER;ReverseComparator;TRUE;FALSE;package
java.util.ImmutableCollections.ListN;EMPTY_LIST;List<?>;TRUE;FALSE;package
java.util.ImmutableCollections.MapN;EMPTY_MAP;Map<?,?>;TRUE;FALSE;package
java.util.ImmutableCollections.SetN;EMPTY_SET;Set<?>;TRUE;FALSE;package
jdk.internal.module.Builder;cachedVersion;Version;FALSE;FALSE;package
jdk.internal.module.IllegalAccessLogger.StackWalkerHolder;INSTANCE;StackWalker;TRUE;FALSE;package
jdk.internal.module.SystemModuleFinders.SystemImage;READER;ImageReader;TRUE;FALSE;package
jdk.internal.ref.CleanerImpl.InnocuousThreadFactory;factory;ThreadFactory;TRUE;FALSE;package
jdk.internal.reflect.UnsafeFieldAccessorImpl;unsafe;Unsafe;TRUE;FALSE;package
