Owner;Name;Type;Final;Array;Access
java.io.BufferedInputStream;DEFAULT_BUFFER_SIZE;int;FALSE;FALSE;private
java.io.BufferedInputStream;BUF_OFFSET;long;TRUE;FALSE;private
java.io.BufferedInputStream;MAX_BUFFER_SIZE;int;FALSE;FALSE;private
java.io.BufferedWriter;defaultCharBufferSize;int;FALSE;FALSE;private
java.io.File;PREFIX_LENGTH_OFFSET;long;TRUE;FALSE;private
java.io.File;pathSeparatorChar;char;TRUE;FALSE;public
java.io.File;PATH_OFFSET;long;TRUE;FALSE;private
java.io.File;separatorChar;char;TRUE;FALSE;public
java.io.File;serialVersionUID;long;TRUE;FALSE;private
java.io.FileSystem;useCanonPrefixCache;boolean;FALSE;FALSE;package
java.io.FileSystem;ACCESS_EXECUTE;int;TRUE;FALSE;public
java.io.FileSystem;BA_DIRECTORY;int;TRUE;FALSE;public
java.io.FileSystem;SPACE_USABLE;int;TRUE;FALSE;public
java.io.FileSystem;useCanonCaches;boolean;FALSE;FALSE;package
java.io.FileSystem;ACCESS_READ;int;TRUE;FALSE;public
java.io.FileSystem;BA_HIDDEN;int;TRUE;FALSE;public
java.io.FileSystem;ACCESS_WRITE;int;TRUE;FALSE;public
java.io.FileSystem;BA_EXISTS;int;TRUE;FALSE;public
java.io.FileSystem;SPACE_TOTAL;int;TRUE;FALSE;public
java.io.FileSystem;BA_REGULAR;int;TRUE;FALSE;public
java.io.FileSystem;SPACE_FREE;int;TRUE;FALSE;public
java.io.InputStream;MAX_SKIP_BUFFER_SIZE;int;TRUE;FALSE;private
java.io.InputStream;MAX_BUFFER_SIZE;int;TRUE;FALSE;private
java.io.InputStream;DEFAULT_BUFFER_SIZE;int;TRUE;FALSE;private
java.io.Writer;WRITE_BUFFER_SIZE;int;TRUE;FALSE;private
java.lang.AbstractStringBuilder;MAX_ARRAY_SIZE;int;TRUE;FALSE;private
java.lang.ArithmeticException;serialVersionUID;long;TRUE;FALSE;private
java.lang.ArrayStoreException;serialVersionUID;long;TRUE;FALSE;private
java.lang.Boolean;serialVersionUID;long;TRUE;FALSE;private
java.lang.BootstrapMethodError;serialVersionUID;long;TRUE;FALSE;private
java.lang.Byte;MAX_VALUE;byte;TRUE;FALSE;public
java.lang.Byte;BYTES;int;TRUE;FALSE;public
java.lang.Byte;serialVersionUID;long;TRUE;FALSE;private
java.lang.Byte;SIZE;int;TRUE;FALSE;public
java.lang.Byte;MIN_VALUE;byte;TRUE;FALSE;public
java.lang.Character;ENCLOSING_MARK;byte;TRUE;FALSE;public
java.lang.Character;PARAGRAPH_SEPARATOR;byte;TRUE;FALSE;public
