Owner;Name;Type;Final;Array;Access
java.io.BufferedInputStream;U;Unsafe;TRUE;FALSE;private
java.io.File;fs;FileSystem;TRUE;FALSE;private
java.io.File;UNSAFE;jdk.internal.misc.Unsafe;TRUE;FALSE;private
java.io.File.TempDirectory;random;SecureRandom;TRUE;FALSE;private
java.io.File.TempDirectory;tmpdir;File;TRUE;FALSE;private
java.io.FileCleanable;fdAccess;JavaIOFileDescriptorAccess;TRUE;FALSE;private
java.io.FileOutputStream;fdAccess;JavaIOFileDescriptorAccess;TRUE;FALSE;private
java.lang.Character.UnicodeBlock;map;Map<String,UnicodeBlock>;FALSE;FALSE;private
java.lang.Character.UnicodeScript;aliases;HashMap<String,Character.UnicodeScript>;FALSE;FALSE;private
java.lang.Class;reflectionFactory;ReflectionFactory;FALSE;FALSE;private
java.lang.Class;allPermDomain;java.security.ProtectionDomain;FALSE;FALSE;private
java.lang.Class.Atomic;unsafe;Unsafe;TRUE;FALSE;private
java.lang.ClassLoader;systemNativeLibraries;Map<String,NativeLibrary>;FALSE;FALSE;private
java.lang.ClassLoader;loadedLibraryNames;Set<String>;TRUE;FALSE;private
java.lang.ClassLoader;scl;ClassLoader;FALSE;FALSE;private
java.lang.ClassLoader.ParallelLoaders;loaderTypes;Set<Class<? extends ClassLoader>>;TRUE;FALSE;private
java.lang.invoke.CallSite;GET_TARGET;MethodHandle;FALSE;FALSE;private
java.lang.invoke.CallSite;THROW_UCS;MethodHandle;FALSE;FALSE;private
java.lang.invoke.DirectMethodHandle;IMPL_NAMES;MemberName.Factory;TRUE;FALSE;private
java.lang.invoke.DirectMethodHandle;OBJ_OBJ_TYPE;MethodType;TRUE;FALSE;private
java.lang.invoke.DirectMethodHandle;LONG_OBJ_TYPE;MethodType;TRUE;FALSE;private
java.lang.invoke.LambdaForm;DEBUG_NAME_COUNTERS;HashMap<String,Integer>;TRUE;FALSE;private
java.lang.invoke.LambdaForm;createFormsLock;Object;TRUE;FALSE;private
java.lang.invoke.LambdaForm;IMPL_NAMES;MemberName.Factory;TRUE;FALSE;private
java.lang.invoke.LambdaForm;DEBUG_NAMES;HashMap<LambdaForm,String>;TRUE;FALSE;private
java.lang.invoke.LambdaForm;LF_FAILED;PerfCounter;FALSE;FALSE;private
java.lang.invoke.MutableCallSite;STORE_BARRIER;AtomicInteger;TRUE;FALSE;private
