Owner;Name;Type;Final;Array;Access
java.io.File;separator;String;TRUE;FALSE;public
java.io.File;pathSeparator;String;TRUE;FALSE;public
java.io.FileDescriptor;in;FileDescriptor;TRUE;FALSE;public
java.io.FileDescriptor;err;FileDescriptor;TRUE;FALSE;public
java.io.FileDescriptor;out;FileDescriptor;TRUE;FALSE;public
java.lang.Boolean;TYPE;Class<Boolean>;TRUE;FALSE;public
java.lang.Boolean;FALSE;Boolean;TRUE;FALSE;public
java.lang.Boolean;TRUE;Boolean;TRUE;FALSE;public
java.lang.Byte;TYPE;Class<Byte>;TRUE;FALSE;public
java.lang.Character;TYPE;Class<Character>;TRUE;FALSE;public
java.lang.Character.UnicodeBlock;ETHIOPIC_EXTENDED_A;UnicodeBlock;TRUE;FALSE;public
java.lang.Character.UnicodeBlock;NEW_TAI_LUE;UnicodeBlock;TRUE;FALSE;public
java.lang.Character.UnicodeBlock;COPTIC_EPACT_NUMBERS;UnicodeBlock;TRUE;FALSE;public
java.lang.Character.UnicodeBlock;PAU_CIN_HAU;UnicodeBlock;TRUE;FALSE;public
java.lang.Character.UnicodeBlock;WARANG_CITI;UnicodeBlock;TRUE;FALSE;public
java.lang.Character.UnicodeBlock;BOPOMOFO_EXTENDED;UnicodeBlock;TRUE;FALSE;public
java.lang.Character.UnicodeBlock;BRAHMI;UnicodeBlock;TRUE;FALSE;public
java.lang.Character.UnicodeBlock;ADLAM;UnicodeBlock;TRUE;FALSE;public
java.lang.Character.UnicodeBlock;COMBINING_HALF_MARKS;UnicodeBlock;TRUE;FALSE;public
java.lang.Character.UnicodeBlock;YIJING_HEXAGRAM_SYMBOLS;UnicodeBlock;TRUE;FALSE;public
java.lang.Character.UnicodeBlock;BALINESE;UnicodeBlock;TRUE;FALSE;public
java.lang.Character.UnicodeBlock;MYANMAR;UnicodeBlock;TRUE;FALSE;public
java.lang.Character.UnicodeBlock;KANNADA;UnicodeBlock;TRUE;FALSE;public
java.lang.Character.UnicodeBlock;MARCHEN;UnicodeBlock;TRUE;FALSE;public
java.lang.Character.UnicodeBlock;AEGEAN_NUMBERS;UnicodeBlock;TRUE;FALSE;public
java.lang.Character.UnicodeBlock;CJK_COMPATIBILITY;UnicodeBlock;TRUE;FALSE;public
java.lang.Character.UnicodeBlock;DESERET;UnicodeBlock;TRUE;FALSE;public
java.lang.Character.UnicodeBlock;RUMI_NUMERAL_SYMBOLS;UnicodeBlock;TRUE;FALSE;public
java.lang.Character.UnicodeBlock;PHOENICIAN;UnicodeBlock;TRUE;FALSE;public
java.lang.Character.UnicodeBlock;OLD_HUNGARIAN;UnicodeBlock;TRUE;FALSE;public
java.lang.Character.UnicodeBlock;HIGH_PRIVATE_USE_SURROGATES;UnicodeBlock;TRUE;FALSE;public
java.lang.Character.UnicodeBlock;COMBINING_DIACRITICAL_MARKS_SUPPLEMENT;UnicodeBlock;TRUE;FALSE;public
java.lang.Character.UnicodeBlock;MISCELLANEOUS_SYMBOLS_AND_PICTOGRAPHS;UnicodeBlock;TRUE;FALSE;public
java.lang.Character.UnicodeBlock;PAHAWH_HMONG;UnicodeBlock;TRUE;FALSE;public
java.lang.Character.UnicodeBlock;ARMENIAN;UnicodeBlock;TRUE;FALSE;public
java.lang.Character.UnicodeBlock;MONGOLIAN;UnicodeBlock;TRUE;FALSE;public
java.lang.Character.UnicodeBlock;HANGUL_COMPATIBILITY_JAMO;UnicodeBlock;TRUE;FALSE;public
java.lang.Character.UnicodeBlock;SMALL_FORM_VARIANTS;UnicodeBlock;TRUE;FALSE;public
java.lang.Character.UnicodeBlock;CJK_UNIFIED_IDEOGRAPHS_EXTENSION_F;UnicodeBlock;TRUE;FALSE;public
java.lang.Character.UnicodeBlock;BLOCK_ELEMENTS;UnicodeBlock;TRUE;FALSE;public
java.lang.Character.UnicodeBlock;TAI_THAM;UnicodeBlock;TRUE;FALSE;public
java.lang.Character.UnicodeBlock;VAI;UnicodeBlock;TRUE;FALSE;public
java.lang.Character.UnicodeBlock;HANGUL_JAMO;UnicodeBlock;TRUE;FALSE;public
java.lang.Character.UnicodeBlock;KATAKANA;UnicodeBlock;TRUE;FALSE;public
java.lang.Character.UnicodeBlock;MYANMAR_EXTENDED_B;UnicodeBlock;TRUE;FALSE;public
java.lang.Character.UnicodeBlock;SAMARITAN;UnicodeBlock;TRUE;FALSE;public
java.lang.Character.UnicodeBlock;OLD_PERMIC;UnicodeBlock;TRUE;FALSE;public
java.lang.Character.UnicodeBlock;COMMON_INDIC_NUMBER_FORMS;UnicodeBlock;TRUE;FALSE;public
java.lang.Character.UnicodeBlock;TAI_XUAN_JING_SYMBOLS;UnicodeBlock;TRUE;FALSE;public
java.lang.Character.UnicodeBlock;BAMUM_SUPPLEMENT;UnicodeBlock;TRUE;FALSE;public
java.lang.Character.UnicodeBlock;ARABIC_MATHEMATICAL_ALPHABETIC_SYMBOLS;UnicodeBlock;TRUE;FALSE;public
java.lang.Character.UnicodeBlock;KANA_EXTENDED_A;UnicodeBlock;TRUE;FALSE;public
java.lang.Character.UnicodeBlock;ETHIOPIC_SUPPLEMENT;UnicodeBlock;TRUE;FALSE;public
java.lang.Character.UnicodeBlock;TIRHUTA;UnicodeBlock;TRUE;FALSE;public
java.lang.Character.UnicodeBlock;MEROITIC_HIEROGLYPHS;UnicodeBlock;TRUE;FALSE;public
java.lang.Character.UnicodeBlock;BUHID;UnicodeBlock;TRUE;FALSE;public
java.lang.Character.UnicodeBlock;GREEK_EXTENDED;UnicodeBlock;TRUE;FALSE;public
java.lang.Character.UnicodeBlock;CARIAN;UnicodeBlock;TRUE;FALSE;public
java.lang.Character.UnicodeBlock;BATAK;UnicodeBlock;TRUE;FALSE;public
java.lang.Character.UnicodeBlock;MODI;UnicodeBlock;TRUE;FALSE;public
java.lang.Character.UnicodeBlock;LATIN_EXTENDED_B;UnicodeBlock;TRUE;FALSE;public
java.lang.Character.UnicodeBlock;GEOMETRIC_SHAPES_EXTENDED;UnicodeBlock;TRUE;FALSE;public
java.lang.Character.UnicodeBlock;HIRAGANA;UnicodeBlock;TRUE;FALSE;public
java.lang.Character.UnicodeBlock;LAO;UnicodeBlock;TRUE;FALSE;public
java.lang.Character.UnicodeBlock;SUNDANESE;UnicodeBlock;TRUE;FALSE;public
java.lang.Character.UnicodeBlock;CHAKMA;UnicodeBlock;TRUE;FALSE;public
java.lang.Character.UnicodeBlock;ENCLOSED_CJK_LETTERS_AND_MONTHS;UnicodeBlock;TRUE;FALSE;public
java.lang.Character.UnicodeBlock;OPTICAL_CHARACTER_RECOGNITION;UnicodeBlock;TRUE;FALSE;public
java.lang.Character.UnicodeBlock;CJK_COMPATIBILITY_FORMS;UnicodeBlock;TRUE;FALSE;public
java.lang.Character.UnicodeBlock;CUNEIFORM;UnicodeBlock;TRUE;FALSE;public
java.lang.Character.UnicodeBlock;CJK_UNIFIED_IDEOGRAPHS_EXTENSION_C;UnicodeBlock;TRUE;FALSE;public
java.lang.Character.UnicodeBlock;LYDIAN;UnicodeBlock;TRUE;FALSE;public
java.lang.Character.UnicodeBlock;UNIFIED_CANADIAN_ABORIGINAL_SYLLABICS_EXTENDED;UnicodeBlock;TRUE;FALSE;public
java.lang.Character.UnicodeBlock;BHAIKSUKI;UnicodeBlock;TRUE;FALSE;public
java.lang.Character.UnicodeBlock;MRO;UnicodeBlock;TRUE;FALSE;public
java.lang.Character.UnicodeBlock;PRIVATE_USE_AREA;UnicodeBlock;TRUE;FALSE;public
java.lang.Character.UnicodeBlock;UGARITIC;UnicodeBlock;TRUE;FALSE;public
java.lang.Character.UnicodeBlock;BOPOMOFO;UnicodeBlock;TRUE;FALSE;public
java.lang.Character.UnicodeBlock;HALFWIDTH_AND_FULLWIDTH_FORMS;UnicodeBlock;TRUE;FALSE;public
java.lang.Character.UnicodeBlock;BASIC_LATIN;UnicodeBlock;TRUE;FALSE;public
java.lang.Character.UnicodeBlock;SYRIAC;UnicodeBlock;TRUE;FALSE;public
java.lang.Character.UnicodeBlock;CYRILLIC_SUPPLEMENTARY;UnicodeBlock;TRUE;FALSE;public
java.lang.Character.UnicodeBlock;GEORGIAN;UnicodeBlock;TRUE;FALSE;public
java.lang.Character.UnicodeBlock;MEETEI_MAYEK_EXTENSIONS;UnicodeBlock;TRUE;FALSE;public
java.lang.Character.UnicodeBlock;SUPPLEMENTARY_PRIVATE_USE_AREA_B;UnicodeBlock;TRUE;FALSE;public
java.lang.Character.UnicodeBlock;EMOTICONS;UnicodeBlock;TRUE;FALSE;public
java.lang.Character.UnicodeBlock;TIFINAGH;UnicodeBlock;TRUE;FALSE;public
java.lang.Character.UnicodeBlock;ENCLOSED_ALPHANUMERICS;UnicodeBlock;TRUE;FALSE;public
java.lang.Character.UnicodeBlock;KAYAH_LI;UnicodeBlock;TRUE;FALSE;public
java.lang.Character.UnicodeBlock;CHEROKEE_SUPPLEMENT;UnicodeBlock;TRUE;FALSE;public
java.lang.Character.UnicodeBlock;VARIATION_SELECTORS;UnicodeBlock;TRUE;FALSE;public
java.lang.Character.UnicodeBlock;MANDAIC;UnicodeBlock;TRUE;FALSE;public
java.lang.Character.UnicodeBlock;MUSICAL_SYMBOLS;UnicodeBlock;TRUE;FALSE;public
java.lang.Character.UnicodeBlock;MISCELLANEOUS_SYMBOLS_AND_ARROWS;UnicodeBlock;TRUE;FALSE;public
java.lang.Character.UnicodeBlock;IDEOGRAPHIC_SYMBOLS_AND_PUNCTUATION;UnicodeBlock;TRUE;FALSE;public
java.lang.Character.UnicodeBlock;LATIN_EXTENDED_D;UnicodeBlock;TRUE;FALSE;public
java.lang.Character.UnicodeBlock;CJK_RADICALS_SUPPLEMENT;UnicodeBlock;TRUE;FALSE;public
java.lang.Character.UnicodeBlock;HEBREW;UnicodeBlock;TRUE;FALSE;public
java.lang.Character.UnicodeBlock;MAHAJANI;UnicodeBlock;TRUE;FALSE;public
java.lang.Character.UnicodeBlock;SUPPLEMENTAL_ARROWS_A;UnicodeBlock;TRUE;FALSE;public
java.lang.Character.UnicodeBlock;TIBETAN;UnicodeBlock;TRUE;FALSE;public
java.lang.Character.UnicodeBlock;TAI_VIET;UnicodeBlock;TRUE;FALSE;public
java.lang.Character.UnicodeBlock;ARABIC_SUPPLEMENT;UnicodeBlock;TRUE;FALSE;public
java.lang.Character.UnicodeBlock;INSCRIPTIONAL_PAHLAVI;UnicodeBlock;TRUE;FALSE;public
java.lang.Character.UnicodeBlock;HANGUL_JAMO_EXTENDED_B;UnicodeBlock;TRUE;FALSE;public
java.lang.Character.UnicodeBlock;ELBASAN;UnicodeBlock;TRUE;FALSE;public
java.lang.Character.UnicodeBlock;PHAGS_PA;UnicodeBlock;TRUE;FALSE;public
java.lang.Character.UnicodeBlock;ORNAMENTAL_DINGBATS;UnicodeBlock;TRUE;FALSE;public
java.lang.Character.UnicodeBlock;LETTERLIKE_SYMBOLS;UnicodeBlock;TRUE;FALSE;public
java.lang.Character.UnicodeBlock;SUPPLEMENTAL_SYMBOLS_AND_PICTOGRAPHS;UnicodeBlock;TRUE;FALSE;public
java.lang.Character.UnicodeBlock;KAITHI;UnicodeBlock;TRUE;FALSE;public
java.lang.Character.UnicodeBlock;PHAISTOS_DISC;UnicodeBlock;TRUE;FALSE;public
java.lang.Character.UnicodeBlock;CYRILLIC_EXTENDED_A;UnicodeBlock;TRUE;FALSE;public
java.lang.Character.UnicodeBlock;DOMINO_TILES;UnicodeBlock;TRUE;FALSE;public
java.lang.Character.UnicodeBlock;TAKRI;UnicodeBlock;TRUE;FALSE;public
java.lang.Character.UnicodeBlock;MIAO;UnicodeBlock;TRUE;FALSE;public
java.lang.Character.UnicodeBlock;RUNIC;UnicodeBlock;TRUE;FALSE;public
java.lang.Character.UnicodeBlock;KHAROSHTHI;UnicodeBlock;TRUE;FALSE;public
java.lang.Character.UnicodeBlock;CONTROL_PICTURES;UnicodeBlock;TRUE;FALSE;public
java.lang.Character.UnicodeBlock;PHONETIC_EXTENSIONS;UnicodeBlock;TRUE;FALSE;public
java.lang.Character.UnicodeBlock;COUNTING_ROD_NUMERALS;UnicodeBlock;TRUE;FALSE;public
java.lang.Character.UnicodeBlock;INSCRIPTIONAL_PARTHIAN;UnicodeBlock;TRUE;FALSE;public
java.lang.Character.UnicodeBlock;BYZANTINE_MUSICAL_SYMBOLS;UnicodeBlock;TRUE;FALSE;public
java.lang.Character.UnicodeBlock;CJK_SYMBOLS_AND_PUNCTUATION;UnicodeBlock;TRUE;FALSE;public
java.lang.Character.UnicodeBlock;OLD_PERSIAN;UnicodeBlock;TRUE;FALSE;public
java.lang.Character.UnicodeBlock;UNIFIED_CANADIAN_ABORIGINAL_SYLLABICS;UnicodeBlock;TRUE;FALSE;public
java.lang.Character.UnicodeBlock;MALAYALAM;UnicodeBlock;TRUE;FALSE;public
java.lang.Character.UnicodeBlock;KANBUN;UnicodeBlock;TRUE;FALSE;public
java.lang.Character.UnicodeBlock;LINEAR_A;UnicodeBlock;TRUE;FALSE;public
java.lang.Character.UnicodeBlock;VERTICAL_FORMS;UnicodeBlock;TRUE;FALSE;public
java.lang.Character.UnicodeBlock;LOW_SURROGATES;UnicodeBlock;TRUE;FALSE;public
java.lang.Character.UnicodeBlock;TAGBANWA;UnicodeBlock;TRUE;FALSE;public
java.lang.Character.UnicodeBlock;OLD_NORTH_ARABIAN;UnicodeBlock;TRUE;FALSE;public
java.lang.Character.UnicodeBlock;CYRILLIC;UnicodeBlock;TRUE;FALSE;public
java.lang.Character.UnicodeBlock;GLAGOLITIC_SUPPLEMENT;UnicodeBlock;TRUE;FALSE;public
java.lang.Character.UnicodeBlock;LATIN_EXTENDED_ADDITIONAL;UnicodeBlock;TRUE;FALSE;public
java.lang.Character.UnicodeBlock;ENCLOSED_IDEOGRAPHIC_SUPPLEMENT;UnicodeBlock;TRUE;FALSE;public
java.lang.Character.UnicodeBlock;SUPERSCRIPTS_AND_SUBSCRIPTS;UnicodeBlock;TRUE;FALSE;public
java.lang.Character.UnicodeBlock;BAMUM;UnicodeBlock;TRUE;FALSE;public
java.lang.Character.UnicodeBlock;HANGUL_JAMO_EXTENDED_A;UnicodeBlock;TRUE;FALSE;public
java.lang.Character.UnicodeBlock;ALPHABETIC_PRESENTATION_FORMS;UnicodeBlock;TRUE;FALSE;public
java.lang.Character.UnicodeBlock;HANGUL_SYLLABLES;UnicodeBlock;TRUE;FALSE;public
java.lang.Character.UnicodeBlock;SUTTON_SIGNWRITING;UnicodeBlock;TRUE;FALSE;public
java.lang.Character.UnicodeBlock;GENERAL_PUNCTUATION;UnicodeBlock;TRUE;FALSE;public
java.lang.Character.UnicodeBlock;PALMYRENE;UnicodeBlock;TRUE;FALSE;public
java.lang.Character.UnicodeBlock;MISCELLANEOUS_MATHEMATICAL_SYMBOLS_B;UnicodeBlock;TRUE;FALSE;public
java.lang.Character.UnicodeBlock;ANATOLIAN_HIEROGLYPHS;UnicodeBlock;TRUE;FALSE;public
java.lang.Character.UnicodeBlock;SUPPLEMENTAL_MATHEMATICAL_OPERATORS;UnicodeBlock;TRUE;FALSE;public
java.lang.Character.UnicodeBlock;SAURASHTRA;UnicodeBlock;TRUE;FALSE;public
java.lang.Character.UnicodeBlock;KHOJKI;UnicodeBlock;TRUE;FALSE;public
java.lang.Character.UnicodeBlock;PHONETIC_EXTENSIONS_SUPPLEMENT;UnicodeBlock;TRUE;FALSE;public
java.lang.Character.UnicodeBlock;SINHALA_ARCHAIC_NUMBERS;UnicodeBlock;TRUE;FALSE;public
java.lang.Character.UnicodeBlock;NKO;UnicodeBlock;TRUE;FALSE;public
java.lang.Character.UnicodeBlock;LIMBU;UnicodeBlock;TRUE;FALSE;public
java.lang.Character.UnicodeBlock;SOYOMBO;UnicodeBlock;TRUE;FALSE;public
java.lang.Character.UnicodeBlock;CJK_STROKES;UnicodeBlock;TRUE;FALSE;public
java.lang.Character.UnicodeBlock;KATAKANA_PHONETIC_EXTENSIONS;UnicodeBlock;TRUE;FALSE;public
java.lang.Character.UnicodeBlock;MEROITIC_CURSIVE;UnicodeBlock;TRUE;FALSE;public
java.lang.Character.UnicodeBlock;KHMER_SYMBOLS;UnicodeBlock;TRUE;FALSE;public
java.lang.Character.UnicodeBlock;OSMANYA;UnicodeBlock;TRUE;FALSE;public
java.lang.Character.UnicodeBlock;SUPPLEMENTAL_ARROWS_C;UnicodeBlock;TRUE;FALSE;public
java.lang.Character.UnicodeBlock;AHOM;UnicodeBlock;TRUE;FALSE;public
java.lang.Character.UnicodeBlock;MISCELLANEOUS_SYMBOLS;UnicodeBlock;TRUE;FALSE;public
java.lang.Character.UnicodeBlock;DUPLOYAN;UnicodeBlock;TRUE;FALSE;public
java.lang.Character.UnicodeBlock;TELUGU;UnicodeBlock;TRUE;FALSE;public
java.lang.Character.UnicodeBlock;CJK_UNIFIED_IDEOGRAPHS_EXTENSION_A;UnicodeBlock;TRUE;FALSE;public
java.lang.Character.UnicodeBlock;PLAYING_CARDS;UnicodeBlock;TRUE;FALSE;public
