Owner;Name;Type
java.util.Locale;isoCountries;java.lang.String[]
java.lang.LiveStackFrameInfo;EMPTY_ARRAY;java.lang.Object[]
java.lang.SecurityManager;packageAccess;java.lang.String[]
java.math.BigInteger;zeros;java.lang.String[]
java.lang.ClassLoader;sys_paths;java.lang.String[]
java.math.BigInteger;negConst;java.math.BigInteger[]
java.math.BigInteger;longRadix;java.math.BigInteger[]
java.nio.charset.Charset;cache1;java.lang.Object[]
java.nio.charset.Charset;cache2;java.lang.Object[]
java.util.Locale;isoLanguages;java.lang.String[]
java.math.BigInteger;intRadix;int[]
java.lang.SecurityManager;packageDefinition;java.lang.String[]
java.math.BigInteger;bitsPerDigit;long[]
java.math.BigInteger;digitsPerInt;int[]
java.math.BigInteger;digitsPerLong;int[]
java.nio.charset.CharsetEncoder;stateNames;java.lang.String[]
java.math.BigInteger;powerCache;java.math.BigInteger[][]
java.lang.ClassLoader;usr_paths;java.lang.String[]
java.math.BigInteger;posConst;java.math.BigInteger[]
java.nio.charset.CharsetDecoder;stateNames;java.lang.String[]
