Owner;Name;Type
java.lang.StackWalker$ExtendedOption;$VALUES;java.lang.StackWalker$ExtendedOption[]
sun.security.util.Debug;hexDigits;char[]
java.util.Locale;isoCountries;java.lang.String[]
java.util.Properties;hexDigit;char[]
java.util.jar.JarFile;CLASSPATH_OPTOSFT;byte[]
java.lang.SecurityManager;packageAccess;java.lang.String[]
java.math.BigInteger;zeros;java.lang.String[]
java.util.jar.JarFile;MULTIRELEASE_CHARS;byte[]
java.lang.module.ModuleDescriptor$Exports$Modifier;$VALUES;java.lang.module.ModuleDescriptor$Exports$Modifier[]
java.lang.System$Logger$Level;$VALUES;java.lang.System$Logger$Level[]
java.lang.module.ModuleDescriptor$Requires$Modifier;$VALUES;java.lang.module.ModuleDescriptor$Requires$Modifier[]
java.util.jar.JarFile;MULTIRELEASE_OPTOSFT;byte[]
sun.invoke.util.Wrapper;FROM_WRAP;sun.invoke.util.Wrapper[]
java.lang.ClassLoader;sys_paths;java.lang.String[]
java.util.Locale$IsoCountryCode;$VALUES;java.util.Locale$IsoCountryCode[]
java.math.BigInteger;bnExpModThreshTable;int[]
java.time.zone.ZoneRules;EMPTY_LONG_ARRAY;long[]
java.time.temporal.ChronoField;$VALUES;java.time.temporal.ChronoField[]
java.time.DayOfWeek;$VALUES;java.time.DayOfWeek[]
java.lang.StackStreamFactory$WalkerState;$VALUES;java.lang.StackStreamFactory$WalkerState[]
java.util.jar.JarFile;CLASSPATH_CHARS;byte[]
java.lang.invoke.VarHandle$AccessType;$VALUES;java.lang.invoke.VarHandle$AccessType[]
java.lang.invoke.DirectMethodHandle;ALL_WRAPPERS;sun.invoke.util.Wrapper[]
java.lang.AbstractStringBuilder;EMPTYVALUE;byte[]
java.util.Date;ttb;int[]
java.net.HttpCookie;COOKIE_DATE_FORMATS;java.lang.String[]
java.time.Month;$VALUES;java.time.Month[]
java.util.jar.JarFile;CLASSPATH_LASTOCC;byte[]
java.lang.invoke.MethodHandleImpl$Intrinsic;$VALUES;java.lang.invoke.MethodHandleImpl$Intrinsic[]
java.util.Locale;isoLanguages;java.lang.String[]
jdk.internal.reflect.ConstantPool$Tag;$VALUES;jdk.internal.reflect.ConstantPool$Tag[]
java.lang.module.ModuleDescriptor$Opens$Modifier;$VALUES;java.lang.module.ModuleDescriptor$Opens$Modifier[]
java.lang.Integer;sizeTable;int[]
java.util.Locale$Category;$VALUES;java.util.Locale$Category[]
sun.invoke.util.Wrapper;$VALUES;sun.invoke.util.Wrapper[]
java.lang.module.ModuleDescriptor$Modifier;$VALUES;java.lang.module.ModuleDescriptor$Modifier[]
java.math.BigInteger;intRadix;int[]
java.lang.invoke.LambdaForm$BasicType;$VALUES;java.lang.invoke.LambdaForm$BasicType[]
java.time.format.FormatStyle;$VALUES;java.time.format.FormatStyle[]
java.lang.invoke.LambdaForm$BasicType;ALL_TYPES;java.lang.invoke.LambdaForm$BasicType[]
java.lang.Integer;DigitTens;byte[]
java.time.zone.ZoneOffsetTransitionRule$TimeDefinition;$VALUES;java.time.zone.ZoneOffsetTransitionRule$TimeDefinition[]
java.lang.annotation.RetentionPolicy;$VALUES;java.lang.annotation.RetentionPolicy[]
sun.invoke.util.Wrapper;FROM_PRIM;sun.invoke.util.Wrapper[]
java.time.DayOfWeek;ENUMS;java.time.DayOfWeek[]
java.lang.StackWalker$Option;$VALUES;java.lang.StackWalker$Option[]
java.lang.Thread$State;$VALUES;java.lang.Thread$State[]
java.lang.Integer;digits;char[]
java.lang.SecurityManager;packageDefinition;java.lang.String[]
java.net.Proxy$Type;$VALUES;java.net.Proxy$Type[]
java.math.BigInteger;bitsPerDigit;long[]
java.time.Month;ENUMS;java.time.Month[]
java.nio.charset.Charset;zeroAliases;java.lang.String[]
java.time.format.TextStyle;$VALUES;java.time.format.TextStyle[]
java.math.BigInteger;digitsPerInt;int[]
java.lang.invoke.ClassSpecializer;E_THROWABLE;java.lang.String[]
java.lang.Integer;DigitOnes;byte[]
java.time.format.ResolverStyle;$VALUES;java.time.format.ResolverStyle[]
java.lang.invoke.LambdaForm$Kind;$VALUES;java.lang.invoke.LambdaForm$Kind[]
java.net.URI;hexDigits;char[]
java.lang.invoke.VarHandle$AccessMode;$VALUES;java.lang.invoke.VarHandle$AccessMode[]
java.math.BigInteger;digitsPerLong;int[]
java.util.jar.JarFile;MULTIRELEASE_LASTOCC;byte[]
java.nio.charset.CoderResult;names;java.lang.String[]
java.math.BigInteger;logCache;double[]
java.util.concurrent.TimeUnit;$VALUES;java.util.concurrent.TimeUnit[]
java.nio.charset.CharsetEncoder;stateNames;java.lang.String[]
java.time.temporal.ChronoUnit;$VALUES;java.time.temporal.ChronoUnit[]
java.io.ObjectInputFilter$Status;$VALUES;java.io.ObjectInputFilter$Status[]
java.lang.ClassLoader;usr_paths;java.lang.String[]
java.lang.invoke.LambdaForm$BasicType;ARG_TYPES;java.lang.invoke.LambdaForm$BasicType[]
sun.invoke.util.Wrapper;FROM_CHAR;sun.invoke.util.Wrapper[]
java.util.stream.Collector$Characteristics;$VALUES;java.util.stream.Collector$Characteristics[]
java.nio.charset.CharsetDecoder;stateNames;java.lang.String[]
java.util.Date;wtb;java.lang.String[]
java.time.chrono.IsoEra;$VALUES;java.time.chrono.IsoEra[]
java.util.Locale$FilteringMode;$VALUES;java.util.Locale$FilteringMode[]
