Owner;Name;Type;Final;Mutability;Array;Access
java.lang.StackWalker$ExtendedOption;$VALUES;java.lang.StackWalker$ExtendedOption[];true;unknown;true;private
java.lang.invoke.MethodType;objectOnlyTypes;java.lang.invoke.MethodType[];true;unknown;true;private
java.lang.LiveStackFrameInfo;EMPTY_ARRAY;java.lang.Object[];false;unknown;true;private
java.lang.invoke.LambdaForm;LF_identity;java.lang.invoke.LambdaForm[];true;unknown;true;private
java.security.Provider$Service;CLASS0;java.lang.Class<?>[];true;unknown;true;private
java.lang.module.ModuleDescriptor$Exports$Modifier;$VALUES;java.lang.module.ModuleDescriptor$Exports$Modifier[];true;unknown;true;private
java.util.Random;serialPersistentFields;java.io.ObjectStreamField[];true;unknown;true;private
java.lang.System$Logger$Level;$VALUES;java.lang.System$Logger$Level[];true;unknown;true;private
java.lang.module.ModuleDescriptor$Requires$Modifier;$VALUES;java.lang.module.ModuleDescriptor$Requires$Modifier[];true;unknown;true;private
sun.invoke.util.Wrapper;FROM_WRAP;sun.invoke.util.Wrapper[];true;unknown;true;private
java.util.Locale$IsoCountryCode;$VALUES;java.util.Locale$IsoCountryCode[];true;unknown;true;private
sun.reflect.generics.tree.Wildcard;emptyBounds;sun.reflect.generics.tree.FieldTypeSignature[];true;unknown;true;private
java.lang.Thread;EMPTY_STACK_TRACE;java.lang.StackTraceElement[];true;unknown;true;private
java.lang.ClassLoader;nocerts;java.security.cert.Certificate[];true;unknown;true;private
java.util.concurrent.ConcurrentHashMap;serialPersistentFields;java.io.ObjectStreamField[];true;unknown;true;private
java.lang.Throwable;EMPTY_THROWABLE_ARRAY;java.lang.Throwable[];true;unknown;true;private
java.time.temporal.ChronoField;$VALUES;java.time.temporal.ChronoField[];true;unknown;true;private
java.math.BigInteger;negConst;java.math.BigInteger[];false;unknown;true;private
java.lang.ClassValue;EMPTY_CACHE;java.lang.ClassValue$Entry<?>[];true;unknown;true;private
java.time.DayOfWeek;$VALUES;java.time.DayOfWeek[];true;unknown;true;private
java.lang.invoke.LambdaForm;INTERNED_ARGUMENTS;java.lang.invoke.LambdaForm$Name[][];true;unknown;true;private
java.lang.StringBuffer;serialPersistentFields;java.io.ObjectStreamField[];true;unknown;true;private
java.math.BigInteger;longRadix;java.math.BigInteger[];false;unknown;true;private
java.lang.invoke.Invokers;NFS;java.lang.invoke.LambdaForm$NamedFunction[];true;unknown;true;private
java.io.ObjectStreamClass;NO_FIELDS;java.io.ObjectStreamField[];true;unknown;true;public
java.lang.StackStreamFactory$WalkerState;$VALUES;java.lang.StackStreamFactory$WalkerState[];true;unknown;true;private
java.nio.charset.Charset;cache1;java.lang.Object[];false;unknown;true;private
java.lang.invoke.VarHandle$AccessType;$VALUES;java.lang.invoke.VarHandle$AccessType[];true;unknown;true;private
java.lang.invoke.DirectMethodHandle;ALL_WRAPPERS;sun.invoke.util.Wrapper[];true;unknown;true;private
java.lang.invoke.MethodType;serialPersistentFields;java.io.ObjectStreamField[];true;unknown;true;private
java.time.Month;$VALUES;java.time.Month[];true;unknown;true;private
java.nio.charset.Charset;cache2;java.lang.Object[];false;unknown;true;private
java.lang.invoke.MethodHandleImpl$Intrinsic;$VALUES;java.lang.invoke.MethodHandleImpl$Intrinsic[];true;unknown;true;private
jdk.internal.reflect.ConstantPool$Tag;$VALUES;jdk.internal.reflect.ConstantPool$Tag[];true;unknown;true;private
java.lang.module.ModuleDescriptor$Opens$Modifier;$VALUES;java.lang.module.ModuleDescriptor$Opens$Modifier[];true;unknown;true;private
java.lang.invoke.LambdaForm;NF_zero;java.lang.invoke.LambdaForm$NamedFunction[];true;unknown;true;private
java.util.Locale$Category;$VALUES;java.util.Locale$Category[];true;unknown;true;private
