Owner;Name;Type
java.lang.Character;INITIAL_QUOTE_PUNCTUATION;byte
java.lang.invoke.LambdaForm$Kind;DIRECT_NEW_INVOKE_SPECIAL;java.lang.invoke.LambdaForm$Kind
java.lang.invoke.LambdaForm$Kind;VARHANDLE_INVOKER;java.lang.invoke.LambdaForm$Kind
java.util.Random;BadRange;java.lang.String
java.lang.reflect.InvocationTargetException;serialVersionUID;long
java.util.InvalidPropertiesFormatException;serialVersionUID;long
java.lang.Character;LINE_SEPARATOR;byte
java.lang.invoke.DirectMethodHandle;NF_internalMemberName;byte
java.lang.module.ModuleDescriptor$Modifier;AUTOMATIC;java.lang.module.ModuleDescriptor$Modifier
java.lang.invoke.DirectMethodHandle;FT_CHECKED_REF;int
java.net.HttpCookie;tspecials;java.lang.String
java.time.temporal.ChronoField;DAY_OF_MONTH;java.time.temporal.ChronoField
java.lang.invoke.LambdaForm$BasicType;V_TYPE_NUM;byte
jdk.internal.misc.Unsafe;ADDRESS_SIZE;int
java.util.concurrent.TimeUnit;MICROSECONDS;java.util.concurrent.TimeUnit
java.lang.invoke.Invokers;MH_LINKER_ARG_APPENDED;int
sun.invoke.util.Wrapper;OBJECT;sun.invoke.util.Wrapper
java.lang.invoke.MethodTypeForm;LF_CS_LINKER;int
java.lang.Character;DIRECTIONALITY_LEFT_TO_RIGHT_EMBEDDING;byte
java.net.URI;L_MARK;long
java.lang.TypeNotPresentException;serialVersionUID;long
java.nio.charset.CoderResult;CR_ERROR_MIN;int
java.lang.invoke.VarHandle$AccessMode;GET_AND_SET;java.lang.invoke.VarHandle$AccessMode
java.lang.invoke.MethodTypeForm;MH_UNINIT_CS;int
java.lang.Integer;serialVersionUID;long
java.net.URI;H_ALPHANUM;long
java.util.concurrent.ConcurrentHashMap;LOAD_FACTOR;float
java.util.TimeZone;GMT_ID_LENGTH;int
java.lang.invoke.LambdaForm$Kind;EXACT_LINKER;java.lang.invoke.LambdaForm$Kind
java.io.FilePermission;READ;int
java.lang.invoke.VarHandle$AccessMode;GET_AND_BITWISE_XOR_ACQUIRE;java.lang.invoke.VarHandle$AccessMode
java.util.concurrent.TimeUnit;NANO_SCALE;long
java.lang.System$Logger$Level;INFO;java.lang.System$Logger$Level
