Owner;Name;Type
java.lang.invoke.LambdaForm$Kind;DIRECT_NEW_INVOKE_SPECIAL;java.lang.invoke.LambdaForm$Kind
java.lang.invoke.LambdaForm$Kind;VARHANDLE_INVOKER;java.lang.invoke.LambdaForm$Kind
java.lang.StackWalker;DEFAULT_EMPTY_OPTION;java.util.EnumSet<java.lang.StackWalker$Option>
java.lang.invoke.LambdaForm$Kind;EXACT_LINKER;java.lang.invoke.LambdaForm$Kind
java.lang.invoke.MethodHandleImpl$Intrinsic;ARRAY_STORE;java.lang.invoke.MethodHandleImpl$Intrinsic
java.lang.invoke.MethodType;internTable;java.lang.invoke.MethodType$ConcurrentWeakInternSet<java.lang.invoke.MethodType>
java.lang.invoke.MethodHandleImpl$Intrinsic;ZERO;java.lang.invoke.MethodHandleImpl$Intrinsic
java.lang.invoke.VarHandle$AccessMode;methodNameToAccessMode;java.util.Map<java.lang.String, java.lang.invoke.VarHandle$AccessMode>
java.lang.invoke.LambdaForm$Kind;TRY_FINALLY;java.lang.invoke.LambdaForm$Kind
java.lang.invoke.LambdaForm$Kind;EXACT_INVOKER;java.lang.invoke.LambdaForm$Kind
java.lang.invoke.LambdaForm$Kind;DIRECT_INVOKE_VIRTUAL;java.lang.invoke.LambdaForm$Kind
java.lang.invoke.LambdaForm$Kind;COLLECT;java.lang.invoke.LambdaForm$Kind
java.lang.invoke.LambdaForm$Kind;PUT_OBJECT;java.lang.invoke.LambdaForm$Kind
java.lang.invoke.LambdaForm$Kind;PUT_FLOAT_VOLATILE;java.lang.invoke.LambdaForm$Kind
java.lang.ClassValue$Entry;DEAD_ENTRY;java.lang.ClassValue$Entry<?>
java.lang.invoke.LambdaForm$Kind;GET_INT;java.lang.invoke.LambdaForm$Kind
jdk.internal.ref.CleanerImpl$InnocuousThreadFactory;factory;java.util.concurrent.ThreadFactory
java.lang.invoke.LambdaForm$Kind;IDENTITY;java.lang.invoke.LambdaForm$Kind
java.lang.invoke.LambdaForm$Kind;GET_LONG;java.lang.invoke.LambdaForm$Kind
java.lang.invoke.LambdaForm$Kind;PUT_DOUBLE;java.lang.invoke.LambdaForm$Kind
java.lang.invoke.LambdaForm$Kind;DIRECT_INVOKE_STATIC;java.lang.invoke.LambdaForm$Kind
java.lang.invoke.MethodHandleImpl$Intrinsic;TRY_FINALLY;java.lang.invoke.MethodHandleImpl$Intrinsic
java.lang.invoke.MethodHandleImpl$Intrinsic;ARRAY_LENGTH;java.lang.invoke.MethodHandleImpl$Intrinsic
java.lang.invoke.LambdaForm$Kind;GET_BYTE;java.lang.invoke.LambdaForm$Kind
java.lang.invoke.LambdaForm$Kind;GUARD;java.lang.invoke.LambdaForm$Kind
java.lang.invoke.LambdaForm$Kind;LINK_TO_TARGET_METHOD;java.lang.invoke.LambdaForm$Kind
java.lang.invoke.LambdaForm$Kind;LINK_TO_CALL_SITE;java.lang.invoke.LambdaForm$Kind
java.lang.invoke.VarHandle$AccessType;GET_AND_UPDATE;java.lang.invoke.VarHandle$AccessType
java.lang.invoke.LambdaForm$BasicType;F_TYPE;java.lang.invoke.LambdaForm$BasicType
java.lang.invoke.LambdaForm$Kind;SPREAD;java.lang.invoke.LambdaForm$Kind
java.lang.invoke.LambdaForm$Kind;VARHANDLE_EXACT_INVOKER;java.lang.invoke.LambdaForm$Kind
java.lang.invoke.LambdaForm$Kind;DIRECT_INVOKE_INTERFACE;java.lang.invoke.LambdaForm$Kind
java.lang.invoke.LambdaForm$BasicType;D_TYPE;java.lang.invoke.LambdaForm$BasicType
java.lang.invoke.MethodHandleImpl$Intrinsic;IDENTITY;java.lang.invoke.MethodHandleImpl$Intrinsic
java.util.TimeZone;NO_TIMEZONE;java.util.TimeZone
java.lang.invoke.LambdaForm$Kind;PUT_INT;java.lang.invoke.LambdaForm$Kind
java.lang.invoke.VarHandle$AccessType;COMPARE_AND_EXCHANGE;java.lang.invoke.VarHandle$AccessType
java.lang.reflect.AccessibleObject;reflectionFactory;jdk.internal.reflect.ReflectionFactory
java.lang.invoke.LambdaForm$Kind;GET_INT_VOLATILE;java.lang.invoke.LambdaForm$Kind
java.lang.invoke.LambdaForm$Kind;GET_LONG_VOLATILE;java.lang.invoke.LambdaForm$Kind
java.lang.invoke.LambdaForm$Kind;PUT_OBJECT_VOLATILE;java.lang.invoke.LambdaForm$Kind
java.nio.Buffer;UNSAFE;jdk.internal.misc.Unsafe
java.net.HttpCookie;assignors;java.util.Map<java.lang.String, java.net.HttpCookie$CookieAttributeAssignor>
java.lang.invoke.LambdaForm$Kind;FIELD;java.lang.invoke.LambdaForm$Kind
java.lang.invoke.LambdaForm$Kind;GENERIC_LINKER;java.lang.invoke.LambdaForm$Kind
java.lang.invoke.LambdaForm$Kind;REINVOKER;java.lang.invoke.LambdaForm$Kind
java.lang.invoke.VarHandle$AccessType;COMPARE_AND_SET;java.lang.invoke.VarHandle$AccessType
java.lang.invoke.LambdaForm$BasicType;J_TYPE;java.lang.invoke.LambdaForm$BasicType
java.lang.invoke.LambdaForm$Kind;PUT_CHAR;java.lang.invoke.LambdaForm$Kind
java.lang.invoke.VarHandle;AIOOBE_SUPPLIER;java.util.function.BiFunction<java.lang.String, java.util.List<java.lang.Integer>, java.lang.ArrayIndexOutOfBoundsException>
java.lang.StackStreamFactory$WalkerState;OPEN;java.lang.StackStreamFactory$WalkerState
java.lang.invoke.MethodHandleImpl$Intrinsic;LOOP;java.lang.invoke.MethodHandleImpl$Intrinsic
java.lang.StackWalker$ExtendedOption;LOCALS_AND_OPERANDS;java.lang.StackWalker$ExtendedOption
java.net.HttpCookie;GMT;java.util.TimeZone
java.lang.invoke.LambdaForm$Kind;PUT_FLOAT;java.lang.invoke.LambdaForm$Kind
java.lang.invoke.LambdaForm$Kind;PUT_LONG;java.lang.invoke.LambdaForm$Kind
java.lang.invoke.LambdaForm$Kind;ZERO;java.lang.invoke.LambdaForm$Kind
java.lang.invoke.MethodHandleImpl$Intrinsic;ARRAY_LOAD;java.lang.invoke.MethodHandleImpl$Intrinsic
java.lang.invoke.LambdaForm$Kind;GET_OBJECT;java.lang.invoke.LambdaForm$Kind
java.lang.StackStreamFactory$WalkerState;NEW;java.lang.StackStreamFactory$WalkerState
java.lang.invoke.LambdaForm$Kind;GET_DOUBLE_VOLATILE;java.lang.invoke.LambdaForm$Kind
java.lang.invoke.LambdaForm$Kind;PUT_DOUBLE_VOLATILE;java.lang.invoke.LambdaForm$Kind
java.lang.ref.ReferenceQueue;ENQUEUED;java.lang.ref.ReferenceQueue<java.lang.Object>
java.lang.invoke.LambdaForm$Kind;PUT_BOOLEAN_VOLATILE;java.lang.invoke.LambdaForm$Kind
java.lang.invoke.LambdaForm$Kind;GENERIC;java.lang.invoke.LambdaForm$Kind
java.lang.invoke.LambdaForm$Kind;PUT_SHORT_VOLATILE;java.lang.invoke.LambdaForm$Kind
java.lang.invoke.LambdaForm$BasicType;I_TYPE;java.lang.invoke.LambdaForm$BasicType
java.lang.invoke.LambdaForm$Kind;LOOP;java.lang.invoke.LambdaForm$Kind
java.lang.invoke.LambdaForm$Kind;DELEGATE;java.lang.invoke.LambdaForm$Kind
java.lang.invoke.LambdaForm$Kind;BOUND_REINVOKER;java.lang.invoke.LambdaForm$Kind
java.lang.invoke.LambdaForm$Kind;GUARD_WITH_CATCH;java.lang.invoke.LambdaForm$Kind
java.lang.invoke.LambdaForm$Kind;GET_SHORT_VOLATILE;java.lang.invoke.LambdaForm$Kind
