Owner;Name;Type
java.util.jar.Attributes$Name;KNOWN_NAMES;java.util.Map<java.lang.String, java.util.jar.Attributes$Name>
java.math.BigInteger;SMALL_PRIME_PRODUCT;java.math.BigInteger
java.lang.Throwable;SUPPRESSED_SENTINEL;java.util.List<java.lang.Throwable>
java.util.OptionalDouble;EMPTY;java.util.OptionalDouble
java.util.Properties;UNSAFE;jdk.internal.misc.Unsafe
java.lang.invoke.DirectMethodHandle;OBJ_OBJ_TYPE;java.lang.invoke.MethodType
java.io.ObjectInputStream;unsharedMarker;java.lang.Object
java.security.Provider;debug;sun.security.util.Debug
java.io.File;UNSAFE;jdk.internal.misc.Unsafe
java.nio.ByteOrder;NATIVE_ORDER;java.nio.ByteOrder
java.util.Date;gcal;sun.util.calendar.BaseCalendar
jdk.internal.reflect.ReflectionFactory;soleInstance;jdk.internal.reflect.ReflectionFactory
java.util.ResourceBundle$Control;CANDIDATES_CACHE;java.util.ResourceBundle$Control$CandidateListCache
sun.reflect.generics.tree.ByteSignature;singleton;sun.reflect.generics.tree.ByteSignature
java.io.ObjectInputStream;UNSAFE;jdk.internal.misc.Unsafe
java.net.URLConnection;defaultCaching;java.util.concurrent.ConcurrentHashMap<java.lang.String, java.lang.Boolean>
sun.reflect.generics.tree.LongSignature;singleton;sun.reflect.generics.tree.LongSignature
java.time.format.DateTimeFormatter;PARSED_LEAP_SECOND;java.time.temporal.TemporalQuery<java.lang.Boolean>
java.io.FilePermission;DOTDOT_PATH;java.nio.file.Path
java.time.Period;PATTERN;java.util.regex.Pattern
java.security.Signature;debug;sun.security.util.Debug
java.lang.SecurityManager;nonExportedPkgs;java.util.Map<java.lang.String, java.lang.Boolean>
sun.reflect.generics.tree.DoubleSignature;singleton;sun.reflect.generics.tree.DoubleSignature
sun.util.locale.BaseLocale;CACHE;sun.util.locale.BaseLocale$Cache
java.util.Optional;EMPTY;java.util.Optional<?>
java.lang.Module;ALL_UNNAMED_MODULE_SET;java.util.Set<java.lang.Module>
java.time.format.DecimalStyle;CACHE;java.util.concurrent.ConcurrentMap<java.util.Locale, java.time.format.DecimalStyle>
java.lang.invoke.DirectMethodHandle;LONG_OBJ_TYPE;java.lang.invoke.MethodType
java.lang.invoke.DirectMethodHandle;IMPL_NAMES;java.lang.invoke.MemberName$Factory
java.lang.SecurityManager;packageDefinitionLock;java.lang.Object
sun.reflect.generics.tree.CharSignature;singleton;sun.reflect.generics.tree.CharSignature
java.util.jar.JarFile;BASE_VERSION;java.lang.Runtime$Version
java.lang.Module;EVERYONE_SET;java.util.Set<java.lang.Module>
java.util.ResourceBundle;referenceQueue;java.lang.ref.ReferenceQueue<java.lang.Object>
java.net.SocketImpl;socketOptions;java.util.Set<java.net.SocketOption<?>>
javax.crypto.Cipher;pdebug;sun.security.util.Debug
java.lang.Module;ALL_UNNAMED_MODULE;java.lang.Module
