Owner;Name;Type;Final;Mutability;Array;Access
java.lang.invoke.BoundMethodHandle$Species_LLLLLLLLLLLL;BMH_SPECIES;java.lang.invoke.BoundMethodHandle$SpeciesData;false;unknown;false;package
com.sun.java.util.jar.pack.BandStructure;bandSequenceList;java.util.LinkedList<java.lang.String>;false;unknown;false;package
java.lang.invoke.BoundMethodHandle$Species_LLILL;BMH_SPECIES;java.lang.invoke.BoundMethodHandle$SpeciesData;false;unknown;false;package
java.util.regex.Pattern;lookbehindEnd;java.util.regex.Pattern$Node;false;unknown;false;package
java.lang.invoke.BoundMethodHandle$Species_LL;BMH_SPECIES;java.lang.invoke.BoundMethodHandle$SpeciesData;false;unknown;false;package
sun.net.www.http.KeepAliveCache;result;int;false;immutable;false;package
java.lang.invoke.BoundMethodHandle$Species_LLLLLLLLLIIL;BMH_SPECIES;java.lang.invoke.BoundMethodHandle$SpeciesData;false;unknown;false;package
java.lang.invoke.BoundMethodHandle$Species_LLLLLLLLLII;BMH_SPECIES;java.lang.invoke.BoundMethodHandle$SpeciesData;false;unknown;false;package
java.util.ImmutableCollections$ListN;EMPTY_LIST;java.util.List<?>;false;unknown;false;package
java.lang.invoke.BoundMethodHandle$Species_I;BMH_SPECIES;java.lang.invoke.BoundMethodHandle$SpeciesData;false;unknown;false;package
java.lang.invoke.BoundMethodHandle$Species_LLLLLLL;BMH_SPECIES;java.lang.invoke.BoundMethodHandle$SpeciesData;false;unknown;false;package
java.lang.invoke.BoundMethodHandle$Species_LLLLLLLLL;BMH_SPECIES;java.lang.invoke.BoundMethodHandle$SpeciesData;false;unknown;false;package
java.lang.ClassLoader$NativeLibrary;nativeLibraryContext;java.util.Deque<java.lang.ClassLoader$NativeLibrary>;false;unknown;false;package
java.lang.invoke.MemberName$Factory;INSTANCE;java.lang.invoke.MemberName$Factory;false;unknown;false;package
java.util.Currency;dataVersion;int;false;immutable;false;package
sun.net.www.protocol.http.HttpURLConnection;HTTP_CONNECT;java.lang.String;false;immutable;false;package
java.net.URL;handlers;java.util.Hashtable<java.lang.String, java.net.URLStreamHandler>;false;unknown;false;package
java.util.Currency;specialCasesList;java.util.List<java.util.Currency$SpecialCaseEntry>;false;unknown;false;package
java.lang.invoke.BoundMethodHandle$Species_LLLLLL;BMH_SPECIES;java.lang.invoke.BoundMethodHandle$SpeciesData;false;unknown;false;package
java.net.DatagramSocket;implClass;java.lang.Class<?>;false;unknown;false;package
java.lang.System;bootLayer;java.lang.ModuleLayer;false;unknown;false;package
sun.net.www.http.KeepAliveStreamCleaner;MAX_CAPACITY;int;false;immutable;false;package
java.lang.invoke.BoundMethodHandle$Species_LLL;BMH_SPECIES;java.lang.invoke.BoundMethodHandle$SpeciesData;false;unknown;false;package
java.lang.invoke.BoundMethodHandle$Species_LLI;BMH_SPECIES;java.lang.invoke.BoundMethodHandle$SpeciesData;false;unknown;false;package
sun.net.www.http.KeepAliveStreamCleaner;MAX_DATA_REMAINING;int;false;immutable;false;package
java.lang.invoke.BoundMethodHandle$Species_LLLLLLLLLLI;BMH_SPECIES;java.lang.invoke.BoundMethodHandle$SpeciesData;false;unknown;false;package
java.lang.invoke.BoundMethodHandle$Species_LLLLLLLI;BMH_SPECIES;java.lang.invoke.BoundMethodHandle$SpeciesData;false;unknown;false;package
java.net.DatagramSocket;factory;java.net.DatagramSocketImplFactory;false;unknown;false;package
java.util.Currency;formatVersion;int;false;immutable;false;package
com.sun.java.util.jar.pack.BandStructure;dumpDir;java.io.File;false;unknown;false;package
java.lang.invoke.BoundMethodHandle$Species_LLLLLLLII;BMH_SPECIES;java.lang.invoke.BoundMethodHandle$SpeciesData;false;unknown;false;package
sun.security.ssl.SunJSSE;cryptoProvider;java.security.Provider;false;unknown;false;package
java.lang.invoke.BoundMethodHandle$Species_LLLI;BMH_SPECIES;java.lang.invoke.BoundMethodHandle$SpeciesData;false;unknown;false;package
com.sun.java.util.jar.pack.Coding;verboseStringForDebug;boolean;false;immutable;false;package
com.sun.java.util.jar.pack.BandStructure;nextSeqForDebug;int;false;immutable;false;package
java.util.Currency;otherCurrenciesList;java.util.List<java.util.Currency$OtherCurrencyEntry>;false;unknown;false;package
java.lang.invoke.BoundMethodHandle$Species_LLLLLLLLLLLLL;BMH_SPECIES;java.lang.invoke.BoundMethodHandle$SpeciesData;false;unknown;false;package
java.lang.invoke.BoundMethodHandle$Species_LLLLLLLLLIILL;BMH_SPECIES;java.lang.invoke.BoundMethodHandle$SpeciesData;false;unknown;false;package
java.util.ImmutableCollections$MapN;EMPTY_MAP;java.util.Map<?, ?>;false;unknown;false;package
