Owner;Name;Type;Final;Mutability;Array;Access
java.lang.System;lineSeparator;java.lang.String;false;immutable;false;private
java.net.URLConnection;defaultUseCaches;boolean;false;immutable;false;private
jdk.internal.misc.SharedSecrets;javaNetURLAccess;jdk.internal.misc.JavaNetURLAccess;false;unknown;false;private
java.net.URL;factory;java.net.URLStreamHandlerFactory;false;unknown;false;private
java.io.Console;cons;java.io.Console;false;unknown;false;private
jdk.internal.misc.SharedSecrets;javaLangModuleAccess;jdk.internal.misc.JavaLangModuleAccess;false;unknown;false;private
jdk.internal.misc.SharedSecrets;javaUtilJarAccess;jdk.internal.misc.JavaUtilJarAccess;false;unknown;false;private
jdk.internal.ref.CleanerImpl;cleanerImplAccess;java.util.function.Function<java.lang.ref.Cleaner, jdk.internal.ref.CleanerImpl>;false;unknown;false;private
jdk.internal.misc.SharedSecrets;javaAWTAccess;jdk.internal.misc.JavaAWTAccess;false;unknown;false;private
java.lang.System;cons;java.io.Console;false;unknown;false;private
jdk.internal.misc.SharedSecrets;javaSecurityAccess;jdk.internal.misc.JavaSecurityAccess;false;unknown;false;private
jdk.internal.misc.SharedSecrets;javaLangInvokeAccess;jdk.internal.misc.JavaLangInvokeAccess;false;unknown;false;private
jdk.internal.reflect.ReflectionFactory;hasStaticInitializerMethod;java.lang.reflect.Method;false;unknown;false;private
jdk.internal.misc.SharedSecrets;javaUtilResourceBundleAccess;jdk.internal.misc.JavaUtilResourceBundleAccess;false;unknown;false;private
java.lang.ClassLoader;scl;java.lang.ClassLoader;false;unknown;false;private
java.lang.invoke.CallSite;GET_TARGET;java.lang.invoke.MethodHandle;false;unknown;false;private
jdk.internal.misc.SharedSecrets;javaIOFileDescriptorAccess;jdk.internal.misc.JavaIOFileDescriptorAccess;false;unknown;false;private
java.util.TimeZone;defaultTimeZone;java.util.TimeZone;false;unknown;false;private
java.util.zip.ZipFile;isWindows;boolean;false;immutable;false;private
java.security.SecureRandom;seedGenerator;java.security.SecureRandom;false;unknown;false;private
java.net.Socket;options;java.util.Set<java.net.SocketOption<?>>;false;unknown;false;private
jdk.internal.misc.SharedSecrets;javaIOAccess;jdk.internal.misc.JavaIOAccess;false;unknown;false;private
java.util.Date;defaultCenturyStart;int;false;immutable;false;private
java.lang.SecurityManager;rootGroup;java.lang.ThreadGroup;false;unknown;false;private
java.lang.module.Configuration;EMPTY_CONFIGURATION;java.lang.module.Configuration;false;unknown;false;private
java.util.Date;jcal;sun.util.calendar.BaseCalendar;false;unknown;false;private
jdk.internal.reflect.ReflectionFactory;langReflectAccess;jdk.internal.reflect.LangReflectAccess;false;unknown;false;private
java.lang.SecurityManager;packageDefinitionValid;boolean;false;immutable;false;private
java.lang.invoke.MemberName$Factory;ALLOWED_FLAGS;int;false;immutable;false;private
jdk.internal.misc.SharedSecrets;javaObjectInputStreamReadString;jdk.internal.misc.JavaObjectInputStreamReadString;false;unknown;false;private
java.net.URL;gate;java.lang.ThreadLocal<java.lang.Object>;false;unknown;false;private
java.lang.Thread;threadInitNumber;int;false;immutable;false;private
java.lang.SecurityManager;packageAccessValid;boolean;false;immutable;false;private
jdk.internal.reflect.ReflectionFactory;disableSerialConstructorChecks;boolean;false;immutable;false;private
