Owner;Name;Type
java.lang.System;lineSeparator;java.lang.String
java.net.URLConnection;defaultUseCaches;boolean
jdk.internal.misc.SharedSecrets;javaNetURLAccess;jdk.internal.misc.JavaNetURLAccess
java.net.URL;factory;java.net.URLStreamHandlerFactory
java.io.Console;cons;java.io.Console
jdk.internal.misc.SharedSecrets;javaLangModuleAccess;jdk.internal.misc.JavaLangModuleAccess
jdk.internal.misc.SharedSecrets;javaUtilJarAccess;jdk.internal.misc.JavaUtilJarAccess
jdk.internal.ref.CleanerImpl;cleanerImplAccess;java.util.function.Function<java.lang.ref.Cleaner, jdk.internal.ref.CleanerImpl>
jdk.internal.misc.SharedSecrets;javaAWTAccess;jdk.internal.misc.JavaAWTAccess
java.lang.System;cons;java.io.Console
jdk.internal.misc.SharedSecrets;javaSecurityAccess;jdk.internal.misc.JavaSecurityAccess
jdk.internal.misc.SharedSecrets;javaLangInvokeAccess;jdk.internal.misc.JavaLangInvokeAccess
jdk.internal.reflect.ReflectionFactory;hasStaticInitializerMethod;java.lang.reflect.Method
jdk.internal.misc.SharedSecrets;javaUtilResourceBundleAccess;jdk.internal.misc.JavaUtilResourceBundleAccess
java.lang.ClassLoader;scl;java.lang.ClassLoader
java.lang.invoke.CallSite;GET_TARGET;java.lang.invoke.MethodHandle
jdk.internal.misc.SharedSecrets;javaIOFileDescriptorAccess;jdk.internal.misc.JavaIOFileDescriptorAccess
java.util.TimeZone;defaultTimeZone;java.util.TimeZone
java.util.zip.ZipFile;isWindows;boolean
java.security.SecureRandom;seedGenerator;java.security.SecureRandom
java.net.Socket;options;java.util.Set<java.net.SocketOption<?>>
jdk.internal.misc.SharedSecrets;javaIOAccess;jdk.internal.misc.JavaIOAccess
java.util.Date;defaultCenturyStart;int
java.lang.SecurityManager;rootGroup;java.lang.ThreadGroup
java.lang.module.Configuration;EMPTY_CONFIGURATION;java.lang.module.Configuration
java.util.Date;jcal;sun.util.calendar.BaseCalendar
jdk.internal.reflect.ReflectionFactory;langReflectAccess;jdk.internal.reflect.LangReflectAccess
java.lang.SecurityManager;packageDefinitionValid;boolean
java.lang.invoke.MemberName$Factory;ALLOWED_FLAGS;int
jdk.internal.misc.SharedSecrets;javaObjectInputStreamReadString;jdk.internal.misc.JavaObjectInputStreamReadString
java.net.URL;gate;java.lang.ThreadLocal<java.lang.Object>
java.lang.Thread;threadInitNumber;int
java.lang.SecurityManager;packageAccessValid;boolean
jdk.internal.reflect.ReflectionFactory;disableSerialConstructorChecks;boolean
jdk.internal.misc.SharedSecrets;javaAWTFontAccess;jdk.internal.misc.JavaAWTFontAccess
java.lang.Class;reflectionFactory;jdk.internal.reflect.ReflectionFactory
java.util.Locale;defaultDisplayLocale;java.util.Locale
java.lang.Class;allPermDomain;java.security.ProtectionDomain
java.lang.reflect.AccessibleObject;printStackPropertiesSet;boolean
java.net.URLConnection;defaultAllowUserInteraction;boolean
java.nio.charset.Charset;defaultCharset;java.nio.charset.Charset
java.lang.System;props;java.util.Properties
java.lang.reflect.AccessibleObject;printStackWhenAccessFails;boolean
java.net.Socket;optionsSet;boolean
java.nio.charset.Charset;gate;java.lang.ThreadLocal<java.lang.ThreadLocal<?>>
java.net.URLConnection;factory;java.net.ContentHandlerFactory
jdk.internal.misc.SharedSecrets;javaLangRefAccess;jdk.internal.misc.JavaLangRefAccess
sun.security.util.Debug;args;java.lang.String
java.util.Locale;defaultLocale;java.util.Locale
jdk.internal.misc.SharedSecrets;javaUtilZipFileAccess;jdk.internal.misc.JavaUtilZipFileAccess
java.lang.ref.SoftReference;clock;long
java.util.Locale$IsoCountryCode;iso3166CodesMap;java.util.Map<java.util.Locale$IsoCountryCode, java.util.Set<java.lang.String>>
jdk.internal.misc.SharedSecrets;javaxCryptoSealedObjectAccess;jdk.internal.misc.JavaxCryptoSealedObjectAccess
java.net.URLConnection;fileNameMap;java.net.FileNameMap
java.lang.ClassLoader;systemNativeLibraries;java.util.Map<java.lang.String, java.lang.ClassLoader$NativeLibrary>
jdk.internal.misc.SharedSecrets;javaObjectInputStreamAccess;jdk.internal.misc.JavaObjectInputStreamAccess
java.net.InetAddress;cachedLocalHost;java.net.InetAddress$CachedLocalHost
java.net.ServerSocket;factory;java.net.SocketImplFactory
java.lang.Thread;threadSeqNumber;long
java.net.ServerSocket;optionsSet;boolean
java.security.Provider;previousKey;java.security.Provider$ServiceKey
jdk.internal.module.Modules;topLayer;java.lang.ModuleLayer
jdk.internal.reflect.ReflectionFactory;initted;boolean
java.security.AccessControlContext;debugInit;boolean
java.util.Locale;defaultFormatLocale;java.util.Locale
jdk.internal.misc.SharedSecrets;javaNetUriAccess;jdk.internal.misc.JavaNetUriAccess
java.lang.Thread;defaultUncaughtExceptionHandler;java.lang.Thread$UncaughtExceptionHandler
jdk.internal.misc.SharedSecrets;javaNetSocketAccess;jdk.internal.misc.JavaNetSocketAccess
jdk.internal.misc.SharedSecrets;javaBeansAccess;jdk.internal.misc.JavaBeansAccess
jdk.internal.reflect.ReflectionFactory;noInflation;boolean
java.lang.ref.Finalizer;queue;java.lang.ref.ReferenceQueue<java.lang.Object>
java.net.InetAddress;nameService;java.net.InetAddress$NameService
jdk.internal.misc.SharedSecrets;javaSecuritySignatureAccess;jdk.internal.misc.JavaSecuritySignatureAccess
java.nio.file.spi.FileSystemProvider;installedProviders;java.util.List<java.nio.file.spi.FileSystemProvider>
java.net.Socket;factory;java.net.SocketImplFactory
jdk.internal.misc.SharedSecrets;javaIORandomAccessFileAccess;jdk.internal.misc.JavaIORandomAccessFileAccess
java.lang.ref.Reference;processPendingActive;boolean
jdk.internal.misc.SharedSecrets;javaIOFilePermissionAccess;jdk.internal.misc.JavaIOFilePermissionAccess
java.security.AccessControlContext;debug;sun.security.util.Debug
jdk.internal.reflect.ReflectionFactory;inflationThreshold;int
jdk.internal.misc.SharedSecrets;javaNetInetAddressAccess;jdk.internal.misc.JavaNetInetAddressAccess
javax.crypto.Cipher;warnCount;int
jdk.internal.misc.SharedSecrets;javaNetURLClassLoaderAccess;jdk.internal.misc.JavaNetURLClassLoaderAccess
