Owner;Name;Type;Final;Mutability;Array;Access
sun.nio.cs.ISO_8859_4;c2bIndex;char[];true;mutable;true;private
java.text.SimpleDateFormat;PATTERN_INDEX_TO_DATE_FORMAT_FIELD;int[];true;mutable;true;private
sun.security.x509.CertificateExtensions;PARAMS;java.lang.Class<?>[];false;mutable;true;private
sun.security.x509.NetscapeCertTypeExtension;mMapData;sun.security.x509.NetscapeCertTypeExtension$MapEntry[];false;mutable;true;private
sun.security.x509.X500Name;streetAddress_data;int[];true;mutable;true;private
java.util.ArrayList;EMPTY_ELEMENTDATA;java.lang.Object[];true;mutable;true;private
jdk.internal.org.objectweb.asm.util.Printer;HANDLE_TAG;java.lang.String[];true;mutable;true;public
java.util.EnumSet;serialPersistentFields;java.io.ObjectStreamField[];true;mutable;true;private
java.nio.charset.CharsetDecoder;stateNames;java.lang.String[];false;mutable;true;private
com.sun.java.util.jar.pack.Instruction;BC_FORMAT;java.lang.String[][];true;mutable;true;private
sun.security.x509.X500Name;commonName_data;int[];true;mutable;true;private
java.lang.invoke.LambdaForm;NF_zero;java.lang.invoke.LambdaForm$NamedFunction[];true;mutable;true;private
java.security.UnresolvedPermission;PARAMS2;java.lang.Class<?>[];true;mutable;true;private
sun.nio.cs.MS1258;c2b;char[];true;mutable;true;private
java.nio.file.FileTreeWalker$EventType;$VALUES;java.nio.file.FileTreeWalker$EventType[];true;mutable;true;private
java.net.Proxy$Type;$VALUES;java.net.Proxy$Type[];true;mutable;true;private
sun.nio.cs.MS1257;c2bIndex;char[];true;mutable;true;private
com.sun.java.util.jar.pack.Attribute$Layout;noElems;com.sun.java.util.jar.pack.Attribute$Layout$Element[];true;mutable;true;private
java.util.PropertyPermissionCollection;serialPersistentFields;java.io.ObjectStreamField[];true;mutable;true;private
java.lang.invoke.TypeConvertingMethodAdapter;FROM_TYPE_SORT;sun.invoke.util.Wrapper[];true;mutable;true;private
sun.security.ssl.ProtocolVersion;PROTOCOLS_TO_13;sun.security.ssl.ProtocolVersion[];true;mutable;true;package
java.math.BigInteger;digitsPerInt;int[];false;mutable;true;private
com.sun.java.util.jar.pack.BandStructure;noMetaCoding;byte[];true;mutable;true;package
com.sun.java.util.jar.pack.Instruction;BC_NAME;java.lang.String[];true;mutable;true;private
java.time.zone.ZoneOffsetTransitionRule$TimeDefinition;$VALUES;java.time.zone.ZoneOffsetTransitionRule$TimeDefinition[];true;mutable;true;private
java.lang.Class;serialPersistentFields;java.io.ObjectStreamField[];true;mutable;true;private
sun.security.ssl.SSLCipher;$VALUES;sun.security.ssl.SSLCipher[];true;mutable;true;private
java.lang.Integer;DigitTens;byte[];true;mutable;true;package
java.security.BasicPermissionCollection;serialPersistentFields;java.io.ObjectStreamField[];true;mutable;true;private
sun.util.locale.provider.LocaleProviderAdapter$Type;$VALUES;sun.util.locale.provider.LocaleProviderAdapter$Type[];true;mutable;true;private
sun.nio.cs.ISO_8859_5;c2bIndex;char[];true;mutable;true;private
java.nio.channels.FileChannel;NO_ATTRIBUTES;java.nio.file.attribute.FileAttribute<?>[];true;mutable;true;private
java.text.MessageFormat;NUMBER_MODIFIER_KEYWORDS;java.lang.String[];true;mutable;true;private
sun.security.x509.AlgorithmId;sha512WithRSAEncryption_data;int[];true;mutable;true;private
java.net.Authenticator$RequestorType;$VALUES;java.net.Authenticator$RequestorType[];true;mutable;true;private
java.util.Comparators$NaturalOrderComparator;$VALUES;java.util.Comparators$NaturalOrderComparator[];true;mutable;true;private
java.text.MessageFormat;TYPE_KEYWORDS;java.lang.String[];true;mutable;true;private
com.sun.java.util.jar.pack.Instruction;BC_SLOT;byte[][];true;mutable;true;private
java.lang.annotation.RetentionPolicy;$VALUES;java.lang.annotation.RetentionPolicy[];true;mutable;true;private
sun.security.ssl.SignatureScheme;$VALUES;sun.security.ssl.SignatureScheme[];true;mutable;true;private
sun.security.tools.keytool.Resources;contents;java.lang.Object[][];true;mutable;true;private
sun.security.ssl.ProtocolVersion;PROTOCOLS_TO_TLS12;sun.security.ssl.ProtocolVersion[];true;mutable;true;package
java.lang.invoke.LambdaForm$BasicType;$VALUES;java.lang.invoke.LambdaForm$BasicType[];true;mutable;true;private
java.util.jar.JarFile;CLASSPATH_OPTOSFT;byte[];true;mutable;true;private
sun.net.ftp.impl.FtpClient;dateFormats;java.text.SimpleDateFormat[];false;mutable;true;private
sun.invoke.util.Wrapper;FROM_WRAP;sun.invoke.util.Wrapper[];true;mutable;true;private
sun.net.www.protocol.http.AuthScheme;$VALUES;sun.net.www.protocol.http.AuthScheme[];true;mutable;true;private
sun.security.ssl.ProtocolVersion;PROTOCOLS_11_12;sun.security.ssl.ProtocolVersion[];true;mutable;true;package
java.io.ObjectStreamClass;NO_FIELDS;java.io.ObjectStreamField[];true;mutable;true;public
java.lang.StackWalker$ExtendedOption;$VALUES;java.lang.StackWalker$ExtendedOption[];true;mutable;true;private
sun.security.ssl.CipherSuite;$VALUES;sun.security.ssl.CipherSuite[];true;mutable;true;private
sun.security.ssl.SSLCipher;tag;java.lang.String[];true;mutable;true;package
sun.security.ssl.RandomCookie;t11Protection;byte[];true;mutable;true;private
sun.security.ssl.ProtocolVersion;PROTOCOLS_OF_12;sun.security.ssl.ProtocolVersion[];true;mutable;true;package
sun.security.x509.X500Name;GIVENNAME_DATA;int[];true;mutable;true;private
java.io.FilePermissionCollection;serialPersistentFields;java.io.ObjectStreamField[];true;mutable;true;private
com.sun.java.util.jar.pack.Code;noRefs;com.sun.java.util.jar.pack.ConstantPool$Entry[];true;mutable;true;private
sun.security.util.Debug;hexDigits;char[];true;mutable;true;private
sun.security.x509.DistributionPoint;REASON_STRINGS;java.lang.String[];true;mutable;true;private
java.time.chrono.ThaiBuddhistEra;$VALUES;java.time.chrono.ThaiBuddhistEra[];true;mutable;true;private
sun.net.www.http.ChunkedOutputStream;EMPTY_CHUNK_HEADER;byte[];true;mutable;true;private
jdk.internal.reflect.ConstantPool$Tag;$VALUES;jdk.internal.reflect.ConstantPool$Tag[];true;mutable;true;private
sun.net.ftp.impl.FtpClient;patStrings;java.lang.String[];false;mutable;true;private
java.nio.charset.Charset;cache2;java.lang.Object[];false;mutable;true;private
sun.security.provider.PolicyFile;PARAMS0;java.lang.Class<?>[];true;mutable;true;private
sun.nio.cs.GBK;b2cSB;char[];false;mutable;true;package
java.lang.invoke.LambdaForm;NF_identity;java.lang.invoke.LambdaForm$NamedFunction[];true;mutable;true;private
sun.nio.cs.ISO_8859_13;b2c;char[];true;mutable;true;private
java.util.ArrayList;DEFAULTCAPACITY_EMPTY_ELEMENTDATA;java.lang.Object[];true;mutable;true;private
sun.security.ssl.SunX509KeyManagerImpl;STRING0;java.lang.String[];true;mutable;true;private
java.net.URL;serialPersistentFields;java.io.ObjectStreamField[];true;mutable;true;private
sun.nio.cs.ISO_8859_16;b2c;char[];true;mutable;true;private
java.lang.invoke.DirectMethodHandle;ALL_WRAPPERS;sun.invoke.util.Wrapper[];true;mutable;true;private
sun.security.ssl.CertStatusExtension$CertStatusRequestType;$VALUES;sun.security.ssl.CertStatusExtension$CertStatusRequestType[];true;mutable;true;private
sun.nio.cs.StandardCharsets;aliases_SJIS;java.lang.String[];false;mutable;true;package
java.time.zone.ZoneRules;EMPTY_LASTRULES;java.time.zone.ZoneOffsetTransitionRule[];true;mutable;true;private
java.nio.charset.CharsetEncoder;stateNames;java.lang.String[];false;mutable;true;private
sun.nio.cs.StandardCharsets;aliases_MS932;java.lang.String[];false;mutable;true;package
java.util.jar.JarFile;MULTIRELEASE_LASTOCC;byte[];true;mutable;true;private
java.lang.Class;EMPTY_CLASS_ARRAY;java.lang.Class<?>[];true;mutable;true;private
com.sun.java.util.jar.pack.BandStructure;defaultMetaCoding;byte[];true;mutable;true;package
sun.nio.cs.KOI8_R;b2c;char[];true;mutable;true;private
sun.nio.cs.IBM874;c2bIndex;char[];true;mutable;true;private
sun.security.x509.NetscapeCertTypeExtension;CertType_data;int[];true;mutable;true;private
java.net.HttpCookie;COOKIE_DATE_FORMATS;java.lang.String[];true;mutable;true;private
sun.security.x509.X500Name;ipAddress_data;int[];true;mutable;true;private
java.lang.Integer;DigitOnes;byte[];true;mutable;true;package
sun.nio.cs.MS1256;c2b;char[];true;mutable;true;private
java.net.InetAddress;serialPersistentFields;java.io.ObjectStreamField[];true;mutable;true;private
sun.net.www.protocol.http.HttpURLConnection;restrictedHeaders;java.lang.String[];true;mutable;true;private
java.text.MessageFormat;DATE_TIME_MODIFIERS;int[];true;mutable;true;private
sun.security.x509.AlgorithmId;md2WithRSAEncryption_data;int[];true;mutable;true;private
sun.nio.cs.KOI8_R;c2b;char[];true;mutable;true;private
java.lang.invoke.VarHandle$AccessMode;$VALUES;java.lang.invoke.VarHandle$AccessMode[];true;mutable;true;private
sun.util.logging.PlatformLogger$Level;LEVEL_VALUES;int[];true;mutable;true;private
sun.nio.cs.MS1250;b2c;char[];true;mutable;true;private
sun.security.x509.ExtendedKeyUsageExtension;emailProtectionOidData;int[];true;mutable;true;private
sun.security.ssl.ProtocolVersion;PROTOCOLS_10_12;sun.security.ssl.ProtocolVersion[];true;mutable;true;package
java.math.BigInteger;digitsPerLong;int[];false;mutable;true;private
sun.nio.cs.MS1254;b2c;char[];true;mutable;true;private
sun.security.ssl.CipherSuite$KeyExchange;$VALUES;sun.security.ssl.CipherSuite$KeyExchange[];true;mutable;true;private
