Owner;Name;Type;Final;Mutability;Array;Access
java.lang.Character;DIRECTIONALITY_COMMON_NUMBER_SEPARATOR;byte;true;immutable;false;public
java.lang.ThreadLocal$ThreadLocalMap;INITIAL_CAPACITY;int;true;immutable;false;private
sun.nio.cs.Johab;b2cSBStr;java.lang.String;true;immutable;false;package
java.lang.invoke.MethodTypeForm;LF_GEN_LINKER;int;true;immutable;false;package
java.lang.Boolean;serialVersionUID;long;true;immutable;false;private
java.lang.invoke.MemberName;ENUM;int;true;immutable;false;package
java.lang.Character;LETTER_NUMBER;byte;true;immutable;false;public
java.util.Hashtable;KEYS;int;true;immutable;false;private
sun.nio.cs.JIS_X_0201;b2cTable;java.lang.String;true;immutable;false;private
java.net.URLConnection;contentPathProp;java.lang.String;true;immutable;false;private
java.lang.Byte;serialVersionUID;long;true;immutable;false;private
sun.nio.cs.GB18030;innerEncoderIndex3;java.lang.String;true;immutable;false;private
java.lang.invoke.LambdaForm$BasicType;ARG_TYPE_LIMIT;int;true;immutable;false;package
jdk.internal.reflect.ReflectionFactory;$assertionsDisabled;boolean;true;immutable;false;package
java.util.concurrent.ConcurrentHashMap;NCPU;int;true;immutable;false;package
jdk.internal.perf.Perf$CleanerAction;$assertionsDisabled;boolean;true;immutable;false;private
sun.nio.ch.SinkChannelImpl;ST_CLOSING;int;true;immutable;false;private
java.net.URI;L_MARK;long;true;immutable;false;private
java.net.InetAddress;serialVersionUID;long;true;immutable;false;private
java.lang.invoke.VarHandle;$assertionsDisabled;boolean;true;immutable;false;package
java.lang.Character;MIN_VALUE;char;true;immutable;false;public
java.util.zip.ZipOutputStream;DEFLATED;int;true;immutable;false;public
java.lang.invoke.MethodTypeForm;LF_INVSPECIAL_IFC;int;true;immutable;false;package
java.lang.Float;MAX_VALUE;float;true;immutable;false;public
java.util.Scanner;BOOLEAN_PATTERN;java.lang.String;true;immutable;false;private
java.lang.Character;FINAL_QUOTE_PUNCTUATION;byte;true;immutable;false;public
java.util.concurrent.CopyOnWriteArrayList;serialVersionUID;long;true;immutable;false;private
java.util.Locale;DISPLAY_VARIANT;int;true;immutable;false;private
sun.nio.cs.GB18030;innerDecoderIndex0;java.lang.String;true;immutable;false;private
java.lang.invoke.LambdaForm$BasicType;I_TYPE_NUM;byte;true;immutable;false;package
sun.security.x509.CertException;verf_CHAIN_LENGTH;int;true;immutable;false;public
java.net.URI;H_ALPHANUM;long;true;immutable;false;private
java.lang.invoke.MemberName;SEARCH_ALL_SUPERS;int;true;immutable;false;package
sun.net.www.http.ChunkedInputStream;STATE_DONE;int;true;immutable;false;package
java.util.concurrent.ConcurrentHashMap;serialVersionUID;long;true;immutable;false;private
java.io.BufferedReader;UNMARKED;int;true;immutable;false;private
com.sun.java.util.jar.pack.DriverResource_ja;PACK_HELP;java.lang.String;true;immutable;false;public
java.lang.invoke.MethodHandle;FORM_OFFSET;long;true;immutable;false;private
java.lang.reflect.Member;PUBLIC;int;true;immutable;false;public
com.sun.java.util.jar.pack.DriverResource_ja;SKIP_FOR_MOVE_FAILED;java.lang.String;true;immutable;false;public
java.lang.Integer;BYTES;int;true;immutable;false;public
java.lang.invoke.CallSite;$assertionsDisabled;boolean;true;immutable;false;package
java.lang.invoke.LambdaFormEditor;MAX_CACHE_ARRAY_SIZE;int;true;immutable;false;private
java.lang.invoke.VarForm;$assertionsDisabled;boolean;true;immutable;false;package
java.lang.Byte;BYTES;int;true;immutable;false;public
java.lang.invoke.MethodTypeForm;LF_MH_LINKER;int;true;immutable;false;package
java.lang.invoke.MethodTypeForm;LF_INVSPECIAL;int;true;immutable;false;package
java.lang.SecurityException;serialVersionUID;long;true;immutable;false;private
java.lang.invoke.DirectMethodHandle;NF_checkReceiver;byte;true;immutable;false;package
sun.nio.ch.SinkChannelImpl;ST_INUSE;int;true;immutable;false;private
java.util.IllegalFormatFlagsException;serialVersionUID;long;true;immutable;false;private
java.util.ResourceBundle;TRACE_ON;boolean;true;immutable;false;private
java.net.SocketPermission;RESOLVE;int;true;immutable;false;private
sun.nio.cs.StreamDecoder;$assertionsDisabled;boolean;true;immutable;false;package
java.nio.channels.SocketChannel;$assertionsDisabled;boolean;true;immutable;false;package
java.util.PropertyPermissionCollection;serialVersionUID;long;true;immutable;false;private
java.net.URI;H_DOT;long;true;immutable;false;private
java.lang.Double;SIZE;int;true;immutable;false;public
jdk.internal.misc.InnocuousThread;THREAD_LOCALS;long;true;immutable;false;private
java.lang.invoke.LambdaForm$BasicType;V_TYPE_NUM;byte;true;immutable;false;package
java.net.URI;L_UPALPHA;long;true;immutable;false;private
java.util.concurrent.FutureTask;INTERRUPTING;int;true;immutable;false;private
java.lang.invoke.LambdaForm;VOID_RESULT;int;true;immutable;false;package
java.util.Locale;$assertionsDisabled;boolean;true;immutable;false;package
java.net.URI;H_RESERVED;long;true;immutable;false;private
com.sun.java.util.jar.pack.Instruction$FormatException;serialVersionUID;long;true;immutable;false;private
sun.nio.cs.IBM852;b2cTable;java.lang.String;true;immutable;false;private
java.lang.Character;SPACE_SEPARATOR;byte;true;immutable;false;public
java.lang.invoke.LambdaForm$BasicType;F_TYPE_NUM;byte;true;immutable;false;package
java.net.URI;H_PCHAR;long;true;immutable;false;private
java.lang.Short;BYTES;int;true;immutable;false;public
java.lang.BootstrapMethodError;serialVersionUID;long;true;immutable;false;private
java.util.ServiceLoader$LazyClassPathLookupIterator;$assertionsDisabled;boolean;true;immutable;false;private
sun.nio.cs.IBM862;b2cTable;java.lang.String;true;immutable;false;private
java.lang.Class;serialVersionUID;long;true;immutable;false;private
sun.nio.fs.UnixDirectoryStream$UnixDirectoryIterator;$assertionsDisabled;boolean;true;immutable;false;private
java.util.Locale;serialVersionUID;long;true;immutable;false;package
java.net.URI;L_LOWALPHA;long;true;immutable;false;private
java.util.Vector;serialVersionUID;long;true;immutable;false;private
javax.security.auth.PrivateCredentialPermission;serialVersionUID;long;true;immutable;false;private
java.lang.Double;NaN;double;true;immutable;false;public
jdk.internal.loader.BuiltinClassLoader;$assertionsDisabled;boolean;true;immutable;false;package
java.lang.Double;NEGATIVE_INFINITY;double;true;immutable;false;public
java.lang.Character;ERROR;int;true;immutable;false;package
jdk.internal.logger.BootstrapLogger$BootstrapExecutors;KEEP_EXECUTOR_ALIVE_SECONDS;long;true;immutable;false;private
java.lang.Float;MIN_VALUE;float;true;immutable;false;public
sun.nio.ch.SourceChannelImpl;ST_KILLPENDING;int;true;immutable;false;private
java.nio.channels.Channels$WritableByteChannelImpl;TRANSFER_SIZE;int;true;immutable;false;private
java.util.concurrent.ConcurrentHashMap;MAXIMUM_CAPACITY;int;true;immutable;false;private
java.lang.Character;DIRECTIONALITY_EUROPEAN_NUMBER;byte;true;immutable;false;public
java.util.Locale;DISPLAY_SCRIPT;int;true;immutable;false;private
java.io.CharConversionException;serialVersionUID;long;true;immutable;false;private
sun.net.www.http.KeepAliveCache;serialVersionUID;long;true;immutable;false;private
java.net.URI;H_URIC;long;true;immutable;false;private
java.util.Locale;UNICODE_LOCALE_EXTENSION;char;true;immutable;false;public
java.lang.invoke.LambdaFormEditor;$assertionsDisabled;boolean;true;immutable;false;package
java.lang.invoke.MethodType;MAX_MH_INVOKER_ARITY;int;true;immutable;false;package
java.lang.Short;serialVersionUID;long;true;immutable;false;private
java.util.Collections$SynchronizedList;serialVersionUID;long;true;immutable;false;private
java.lang.Character;DIRECTIONALITY_SEGMENT_SEPARATOR;byte;true;immutable;false;public
java.lang.StackTraceElement;BUILTIN_CLASS_LOADER;byte;true;immutable;false;private
java.util.TimerTask;EXECUTED;int;true;immutable;false;package
java.nio.HeapByteBuffer;$assertionsDisabled;boolean;true;immutable;false;package
jdk.internal.misc.Unsafe;ARRAY_OBJECT_INDEX_SCALE;int;true;immutable;false;public
sun.nio.cs.GB18030;innerEncoderIndex10;java.lang.String;true;immutable;false;private
java.util.Scanner;LINE_SEPARATOR_PATTERN;java.lang.String;true;immutable;false;private
sun.security.x509.CertException;verf_INVALID_SIG;int;true;immutable;false;public
sun.nio.cs.ISO_8859_15;b2cTable;java.lang.String;true;immutable;false;private
sun.nio.cs.GB18030;innerIndex5;java.lang.String;true;immutable;false;private
jdk.internal.misc.Unsafe;ARRAY_INT_BASE_OFFSET;int;true;immutable;false;public
java.lang.Long;serialVersionUID;long;true;immutable;false;private
java.lang.invoke.MethodTypeForm;MH_UNINIT_CS;int;true;immutable;false;package
sun.nio.ch.SourceChannelImpl;ST_INUSE;int;true;immutable;false;private
java.lang.Character;DIRECTIONALITY_LEFT_TO_RIGHT_EMBEDDING;byte;true;immutable;false;public
java.lang.Throwable;SELF_SUPPRESSION_MESSAGE;java.lang.String;true;immutable;false;private
java.lang.Character;MAX_VALUE;char;true;immutable;false;public
sun.security.timestamp.TSResponse$TimestampException;serialVersionUID;long;true;immutable;false;private
java.util.concurrent.FutureTask;CANCELLED;int;true;immutable;false;private
sun.nio.cs.SJIS;b2cSBStr;java.lang.String;true;immutable;false;package
java.lang.Float;SIZE;int;true;immutable;false;public
java.lang.invoke.MethodTypeForm;LF_EX_INVOKER;int;true;immutable;false;package
java.net.SocketPermission;ALL;int;true;immutable;false;private
java.lang.invoke.Invokers;NF_checkExactType;byte;true;immutable;false;private
java.net.URI;L_ALPHA;long;true;immutable;false;private
java.lang.Double;POSITIVE_INFINITY;double;true;immutable;false;public
java.util.Scanner;LINE_PATTERN;java.lang.String;true;immutable;false;private
java.util.ArrayList;DEFAULT_CAPACITY;int;true;immutable;false;private
java.lang.Exception;serialVersionUID;long;true;immutable;false;package
java.util.ResourceBundle;INITIAL_CACHE_SIZE;int;true;immutable;false;private
java.lang.invoke.DirectMethodHandle;NF_staticBase;byte;true;immutable;false;package
java.lang.NoSuchMethodError;serialVersionUID;long;true;immutable;false;private
sun.net.www.protocol.jar.Handler;separator;java.lang.String;true;immutable;false;private
sun.nio.cs.GB18030;innerEncoderIndex11;java.lang.String;true;immutable;false;private
java.util.ResourceBundle;UNKNOWN_FORMAT;java.lang.String;true;immutable;false;private
java.util.concurrent.ConcurrentHashMap;CELLSBUSY;long;true;immutable;false;private
java.nio.DirectByteBuffer;ARRAY_BASE_OFFSET;long;true;immutable;false;private
java.lang.ClassValue$ClassValueMap;$assertionsDisabled;boolean;true;immutable;false;package
java.lang.Character;OTHER_NUMBER;byte;true;immutable;false;public
javax.crypto.CryptoPermission;ALG_NAME_WILDCARD;java.lang.String;true;immutable;false;package
sun.nio.ch.SinkChannelImpl;$assertionsDisabled;boolean;true;immutable;false;package
java.lang.invoke.DirectMethodHandle;FT_CHECKED_REF;int;true;immutable;false;package
java.lang.invoke.DirectMethodHandle;AF_LIMIT;byte;true;immutable;false;package
java.net.SocketPermissionCollection;serialVersionUID;long;true;immutable;false;private
java.lang.Character;CURRENCY_SYMBOL;byte;true;immutable;false;public
