Owner;Name;Type;Final;Mutability;Array;Access
java.lang.invoke.LambdaForm$Kind;SPREAD;java.lang.invoke.LambdaForm$Kind;true;unknown;false;package
sun.security.ssl.CipherSuite;SSL_RSA_WITH_RC4_128_MD5;sun.security.ssl.CipherSuite;true;unknown;false;package
java.util.stream.MatchOps$MatchKind;ANY;java.util.stream.MatchOps$MatchKind;true;unknown;false;package
sun.security.ssl.CipherSuite;CS_C083;sun.security.ssl.CipherSuite;true;unknown;false;package
sun.security.ssl.CipherSuite;CS_003E;sun.security.ssl.CipherSuite;true;unknown;false;package
sun.security.ssl.CipherSuite;TLS_DHE_RSA_WITH_AES_128_CBC_SHA;sun.security.ssl.CipherSuite;true;unknown;false;package
sun.security.ssl.CipherSuite;CS_0024;sun.security.ssl.CipherSuite;true;unknown;false;package
sun.security.ssl.CipherType;BLOCK_CIPHER;sun.security.ssl.CipherType;true;unknown;false;package
sun.security.ssl.CertStatusExtension$CertStatusRequestType;OCSP_MULTI;sun.security.ssl.CertStatusExtension$CertStatusRequestType;true;unknown;false;package
sun.security.ssl.Alert;UNSUPPORTED_EXTENSION;sun.security.ssl.Alert;true;unknown;false;package
java.lang.invoke.LambdaForm$Kind;DIRECT_INVOKE_SPECIAL_IFC;java.lang.invoke.LambdaForm$Kind;true;unknown;false;package
sun.security.ssl.SSLExtension;CACHED_INFO;sun.security.ssl.SSLExtension;true;unknown;false;package
sun.security.ssl.SSLExtension;EE_ALPN;sun.security.ssl.SSLExtension;true;unknown;false;package
sun.security.ssl.SSLExtension;SH_EXTENDED_MASTER_SECRET;sun.security.ssl.SSLExtension;true;unknown;false;package
java.lang.ProcessBuilder$NullOutputStream;INSTANCE;java.lang.ProcessBuilder$NullOutputStream;true;unknown;false;package
sun.security.ssl.CipherSuite;CS_008F;sun.security.ssl.CipherSuite;true;unknown;false;package
sun.security.ssl.DummyX509KeyManager;INSTANCE;javax.net.ssl.X509ExtendedKeyManager;true;unknown;false;package
sun.security.ssl.Alert;NO_CERTIFICATE;sun.security.ssl.Alert;true;unknown;false;package
sun.security.ssl.CipherSuite;CS_00B8;sun.security.ssl.CipherSuite;true;unknown;false;package
java.lang.invoke.LambdaForm$Kind;PUT_LONG;java.lang.invoke.LambdaForm$Kind;true;unknown;false;package
sun.security.ssl.CipherSuite;CS_0025;sun.security.ssl.CipherSuite;true;unknown;false;package
sun.security.ssl.SignatureScheme;RSA_PSS_PSS_SHA512;sun.security.ssl.SignatureScheme;true;unknown;false;package
sun.security.ssl.SSLCipher;B_3DES;sun.security.ssl.SSLCipher;true;unknown;false;package
java.util.jar.JarVerifier;debug;sun.security.util.Debug;true;unknown;false;package
sun.security.ssl.CipherSuite;CS_C09F;sun.security.ssl.CipherSuite;true;unknown;false;package
sun.security.ssl.CipherSuite;CS_C01A;sun.security.ssl.CipherSuite;true;unknown;false;package
sun.security.ssl.CipherSuite;CS_0089;sun.security.ssl.CipherSuite;true;unknown;false;package
sun.security.ssl.SSLHandshake;ENCRYPTED_EXTENSIONS;sun.security.ssl.SSLHandshake;true;unknown;false;package
java.lang.invoke.LambdaForm$Kind;VARHANDLE_EXACT_INVOKER;java.lang.invoke.LambdaForm$Kind;true;unknown;false;package
sun.security.ssl.SSLExtension;MH_KEY_SHARE;sun.security.ssl.SSLExtension;true;unknown;false;package
java.util.concurrent.ForkJoinPool$WorkQueue;TOP;java.lang.invoke.VarHandle;true;unknown;false;package
sun.security.ssl.CipherSuite;CS_C036;sun.security.ssl.CipherSuite;true;unknown;false;package
sun.security.ssl.CipherSuite$KeyExchange;K_ECDH_RSA;sun.security.ssl.CipherSuite$KeyExchange;true;unknown;false;package
sun.security.ssl.CipherSuite;CS_0064;sun.security.ssl.CipherSuite;true;unknown;false;package
sun.security.ssl.SSLExtension;SIGNED_CERT_TIMESTAMP;sun.security.ssl.SSLExtension;true;unknown;false;package
java.lang.invoke.MethodHandleImpl$Intrinsic;IDENTITY;java.lang.invoke.MethodHandleImpl$Intrinsic;true;unknown;false;package
sun.security.ssl.SignatureScheme;RSA_MD5;sun.security.ssl.SignatureScheme;true;unknown;false;package
sun.security.ssl.Alert;INTERNAL_ERROR;sun.security.ssl.Alert;true;unknown;false;package
sun.security.ssl.CipherSuite;CS_C075;sun.security.ssl.CipherSuite;true;unknown;false;package
sun.security.ssl.SupportedGroupsExtension$NamedGroup;SECT283_K1;sun.security.ssl.SupportedGroupsExtension$NamedGroup;true;unknown;false;package
sun.security.ssl.CipherSuite;CS_00BA;sun.security.ssl.CipherSuite;true;unknown;false;package
sun.security.ssl.SSLHandshake;CERTIFICATE_URL;sun.security.ssl.SSLHandshake;true;unknown;false;package
sun.security.ssl.CipherSuite;CS_C061;sun.security.ssl.CipherSuite;true;unknown;false;package
sun.security.ssl.CipherSuite;CS_C058;sun.security.ssl.CipherSuite;true;unknown;false;package
sun.security.ssl.CipherSuite;TLS_ECDHE_ECDSA_WITH_AES_128_GCM_SHA256;sun.security.ssl.CipherSuite;true;unknown;false;package
sun.security.ssl.Alert;CERTIFICATE_EXPIRED;sun.security.ssl.Alert;true;unknown;false;package
sun.security.ssl.CipherSuite;TLS_RSA_WITH_AES_256_GCM_SHA384;sun.security.ssl.CipherSuite;true;unknown;false;package
sun.security.ssl.CipherSuite;CS_00C0;sun.security.ssl.CipherSuite;true;unknown;false;package
