Owner;Name;Type;Final;Mutability;Array;Access
java.time.chrono.ThaiBuddhistChronology;ERA_NARROW_NAMES;java.util.HashMap<java.lang.String, java.lang.String[]>;true;unknown;false;private
java.lang.ClassValue;nextHashCode;java.util.concurrent.atomic.AtomicInteger;true;unknown;false;private
java.time.chrono.ChronoPeriodImpl;SUPPORTED_UNITS;java.util.List<java.time.temporal.TemporalUnit>;true;unknown;false;private
java.util.concurrent.PriorityBlockingQueue;ALLOCATIONSPINLOCK;java.lang.invoke.VarHandle;true;unknown;false;private
java.io.FilePermission;DOTDOT_PATH;java.nio.file.Path;true;unknown;false;private
java.lang.Class;reflectionFactory;jdk.internal.reflect.ReflectionFactory;false;unknown;false;private
jdk.internal.reflect.ReflectionFactory;inflationThreshold;int;false;immutable;false;private
java.util.concurrent.CompletableFuture;STACK;java.lang.invoke.VarHandle;true;unknown;false;private
java.text.AttributedCharacterIterator$Attribute;instanceMap;java.util.Map<java.lang.String, java.text.AttributedCharacterIterator$Attribute>;true;unknown;false;private
jdk.internal.ref.Cleaner;first;jdk.internal.ref.Cleaner;false;unknown;false;private
sun.nio.cs.MS932;c2bInitialized;boolean;false;immutable;false;private
java.lang.reflect.AccessibleObject;printStackPropertiesSet;boolean;false;immutable;false;private
java.time.format.DecimalStyle;CACHE;java.util.concurrent.ConcurrentMap<java.util.Locale, java.time.format.DecimalStyle>;true;unknown;false;private
sun.nio.ch.ServerSocketChannelImpl;nd;sun.nio.ch.NativeDispatcher;false;unknown;false;private
java.lang.invoke.DirectMethodHandle;IMPL_NAMES;java.lang.invoke.MemberName$Factory;true;unknown;false;private
javax.crypto.JarVerifier;providerValidator;sun.security.validator.Validator;false;unknown;false;private
java.util.Scanner;FIND_ANY_PATTERN;java.util.regex.Pattern;false;unknown;false;private
java.time.Year;PARSER;java.time.format.DateTimeFormatter;true;unknown;false;private
java.util.concurrent.ConcurrentSkipListMap;RIGHT;java.lang.invoke.VarHandle;true;unknown;false;private
sun.security.ssl.SunJSSE;info;java.lang.String;false;immutable;false;private
java.math.BigInteger;SMALL_PRIME_PRODUCT;java.math.BigInteger;true;unknown;false;private
java.util.concurrent.ConcurrentLinkedDeque;ITEM;java.lang.invoke.VarHandle;true;unknown;false;private
sun.security.provider.PolicyFile;badPolicyURLs;java.util.Set<java.net.URL>;false;unknown;false;private
java.lang.invoke.LambdaForm;createFormsLock;java.lang.Object;true;unknown;false;private
java.lang.System;props;java.util.Properties;false;unknown;false;private
java.lang.ClassLoader;scl;java.lang.ClassLoader;false;unknown;false;private
java.net.URL;defaultFactory;java.net.URLStreamHandlerFactory;true;unknown;false;private
