Owner;Name;Type;Final;Mutability;Array;Access
java.text.NumberFormat$Field;EXPONENT_SYMBOL;java.text.NumberFormat$Field;true;unknown;false;public
java.math.MathContext;DECIMAL128;java.math.MathContext;true;unknown;false;public
sun.security.x509.AlgorithmId;sha512WithRSAEncryption_oid;sun.security.util.ObjectIdentifier;true;unknown;false;public
sun.util.locale.provider.LocaleProviderAdapter$Type;JRE;sun.util.locale.provider.LocaleProviderAdapter$Type;true;unknown;false;public
java.security.cert.CRLReason;REMOVE_FROM_CRL;java.security.cert.CRLReason;true;unknown;false;public
java.time.temporal.ChronoUnit;MILLENNIA;java.time.temporal.ChronoUnit;true;unknown;false;public
java.time.chrono.MinguoEra;BEFORE_ROC;java.time.chrono.MinguoEra;true;unknown;false;public
java.util.concurrent.TimeUnit;MICROSECONDS;java.util.concurrent.TimeUnit;true;unknown;false;public
jdk.internal.org.objectweb.asm.tree.analysis.BasicValue;LONG_VALUE;jdk.internal.org.objectweb.asm.tree.analysis.BasicValue;true;unknown;false;public
sun.net.ftp.FtpReplyCode;FILE_NAME_NOT_ALLOWED;sun.net.ftp.FtpReplyCode;true;unknown;false;public
sun.security.x509.AlgorithmId;RSA_oid;sun.security.util.ObjectIdentifier;true;unknown;false;public
sun.net.ftp.FtpReplyCode;FILE_STATUS;sun.net.ftp.FtpReplyCode;true;unknown;false;public
java.time.format.TextStyle;NARROW_STANDALONE;java.time.format.TextStyle;true;unknown;false;public
sun.net.ProgressSource$State;NEW;sun.net.ProgressSource$State;true;unknown;false;public
jdk.internal.reflect.ConstantPool$Tag;FLOAT;jdk.internal.reflect.ConstantPool$Tag;true;unknown;false;public
sun.security.provider.certpath.OCSP$RevocationStatus$CertStatus;GOOD;sun.security.provider.certpath.OCSP$RevocationStatus$CertStatus;true;unknown;false;public
java.time.temporal.ChronoField;DAY_OF_YEAR;java.time.temporal.ChronoField;true;unknown;false;public
java.time.chrono.JapaneseEra;TAISHO;java.time.chrono.JapaneseEra;true;unknown;false;public
java.time.chrono.HijrahChronology;INSTANCE;java.time.chrono.HijrahChronology;true;unknown;false;public
sun.security.x509.X500Name;GIVENNAME_OID;sun.security.util.ObjectIdentifier;true;unknown;false;public
java.time.Month;JULY;java.time.Month;true;unknown;false;public
java.text.DateFormat$Field;YEAR;java.text.DateFormat$Field;true;unknown;false;public
java.lang.Long;TYPE;java.lang.Class<java.lang.Long>;true;unknown;false;public
java.time.chrono.JapaneseEra;SHOWA;java.time.chrono.JapaneseEra;true;unknown;false;public
jdk.internal.reflect.ConstantPool$Tag;UTF8;jdk.internal.reflect.ConstantPool$Tag;true;unknown;false;public
sun.security.provider.certpath.OCSPResponse$ResponseStatus;UNUSED;sun.security.provider.certpath.OCSPResponse$ResponseStatus;true;unknown;false;public
java.util.jar.Attributes$Name;IMPLEMENTATION_URL;java.util.jar.Attributes$Name;true;unknown;false;public
sun.security.x509.AlgorithmId;specifiedWithECDSA_oid;sun.security.util.ObjectIdentifier;true;unknown;false;public
java.time.Month;SEPTEMBER;java.time.Month;true;unknown;false;public
java.time.temporal.ChronoField;YEAR;java.time.temporal.ChronoField;true;unknown;false;public
java.lang.module.ModuleDescriptor$Requires$Modifier;STATIC;java.lang.module.ModuleDescriptor$Requires$Modifier;true;unknown;false;public
sun.security.x509.AlgorithmId;sha256WithDSA_oid;sun.security.util.ObjectIdentifier;true;unknown;false;public
java.time.temporal.ChronoField;SECOND_OF_DAY;java.time.temporal.ChronoField;true;unknown;false;public
sun.security.x509.X500Name;stateName_oid;sun.security.util.ObjectIdentifier;true;unknown;false;public
java.time.LocalTime;MAX;java.time.LocalTime;true;unknown;false;public
java.time.chrono.ThaiBuddhistChronology;INSTANCE;java.time.chrono.ThaiBuddhistChronology;true;unknown;false;public
java.time.LocalDate;MIN;java.time.LocalDate;true;unknown;false;public
java.time.Duration;ZERO;java.time.Duration;true;unknown;false;public
jdk.internal.org.objectweb.asm.Type;DOUBLE_TYPE;jdk.internal.org.objectweb.asm.Type;true;unknown;false;public
java.util.Locale$FilteringMode;REJECT_EXTENDED_RANGES;java.util.Locale$FilteringMode;true;unknown;false;public
sun.net.ftp.FtpReplyCode;UNKNOWN_ERROR;sun.net.ftp.FtpReplyCode;true;unknown;false;public
sun.security.x509.AlgorithmId;pbeWithSHA1AndDESede_oid;sun.security.util.ObjectIdentifier;false;unknown;false;public
jdk.internal.reflect.ConstantPool$Tag;NAMEANDTYPE;jdk.internal.reflect.ConstantPool$Tag;true;unknown;false;public
sun.security.x509.AlgorithmId;pbeWithSHA1AndRC2_oid;sun.security.util.ObjectIdentifier;true;unknown;false;public
sun.security.x509.X500Name;GENERATIONQUALIFIER_OID;sun.security.util.ObjectIdentifier;true;unknown;false;public
java.time.temporal.ChronoField;MILLI_OF_SECOND;java.time.temporal.ChronoField;true;unknown;false;public
java.text.DateFormat$Field;ERA;java.text.DateFormat$Field;true;unknown;false;public
sun.net.ProgressSource$State;DELETE;sun.net.ProgressSource$State;true;unknown;false;public
sun.net.www.protocol.http.AuthCacheValue$Type;Proxy;sun.net.www.protocol.http.AuthCacheValue$Type;true;unknown;false;public
java.time.Month;MARCH;java.time.Month;true;unknown;false;public
sun.security.x509.X500Name;SERIALNUMBER_OID;sun.security.util.ObjectIdentifier;true;unknown;false;public
java.time.LocalDateTime;MAX;java.time.LocalDateTime;true;unknown;false;public
java.security.spec.RSAKeyGenParameterSpec;F4;java.math.BigInteger;true;unknown;false;public
sun.net.ftp.FtpReplyCode;LOGGED_IN;sun.net.ftp.FtpReplyCode;true;unknown;false;public
java.util.Locale;ENGLISH;java.util.Locale;true;unknown;false;public
sun.security.x509.X500Name;countryName_oid;sun.security.util.ObjectIdentifier;true;unknown;false;public
jdk.internal.org.objectweb.asm.Type;BOOLEAN_TYPE;jdk.internal.org.objectweb.asm.Type;true;unknown;false;public
java.util.Locale;KOREA;java.util.Locale;true;unknown;false;public
javax.net.ssl.SSLEngineResult$Status;CLOSED;javax.net.ssl.SSLEngineResult$Status;true;unknown;false;public
java.util.Locale$Category;DISPLAY;java.util.Locale$Category;true;unknown;false;public
java.lang.module.ModuleDescriptor$Requires$Modifier;SYNTHETIC;java.lang.module.ModuleDescriptor$Requires$Modifier;true;unknown;false;public
java.time.zone.ZoneOffsetTransitionRule$TimeDefinition;WALL;java.time.zone.ZoneOffsetTransitionRule$TimeDefinition;true;unknown;false;public
java.lang.invoke.VarHandle$AccessMode;GET_OPAQUE;java.lang.invoke.VarHandle$AccessMode;true;unknown;false;public
java.lang.Thread$State;BLOCKED;java.lang.Thread$State;true;unknown;false;public
java.text.NumberFormat$Field;DECIMAL_SEPARATOR;java.text.NumberFormat$Field;true;unknown;false;public
sun.security.provider.certpath.OCSPResponse$ResponseStatus;UNAUTHORIZED;sun.security.provider.certpath.OCSPResponse$ResponseStatus;true;unknown;false;public
sun.util.logging.PlatformLogger$Level;OFF;sun.util.logging.PlatformLogger$Level;true;unknown;false;public
jdk.internal.org.objectweb.asm.tree.analysis.BasicValue;INT_VALUE;jdk.internal.org.objectweb.asm.tree.analysis.BasicValue;true;unknown;false;public
java.text.DateFormat$Field;DAY_OF_WEEK;java.text.DateFormat$Field;true;unknown;false;public
sun.security.x509.AlgorithmId;md2WithRSAEncryption_oid;sun.security.util.ObjectIdentifier;true;unknown;false;public
java.time.LocalDate;MAX;java.time.LocalDate;true;unknown;false;public
java.lang.System$Logger$Level;TRACE;java.lang.System$Logger$Level;true;unknown;false;public
java.math.BigDecimal;ZERO;java.math.BigDecimal;true;unknown;false;public
sun.security.x509.AlgorithmId;SHA224_oid;sun.security.util.ObjectIdentifier;true;unknown;false;public
sun.security.x509.AlgorithmId;sha224WithDSA_oid;sun.security.util.ObjectIdentifier;true;unknown;false;public
javax.net.ssl.SSLEngineResult$Status;BUFFER_UNDERFLOW;javax.net.ssl.SSLEngineResult$Status;true;unknown;false;public
sun.security.x509.InhibitAnyPolicyExtension;AnyPolicy_Id;sun.security.util.ObjectIdentifier;false;unknown;false;public
sun.security.x509.AlgorithmId;sha384WithRSAEncryption_oid;sun.security.util.ObjectIdentifier;true;unknown;false;public
jdk.internal.reflect.ConstantPool$Tag;DOUBLE;jdk.internal.reflect.ConstantPool$Tag;true;unknown;false;public
java.time.chrono.IsoEra;BCE;java.time.chrono.IsoEra;true;unknown;false;public
java.time.format.FormatStyle;FULL;java.time.format.FormatStyle;true;unknown;false;public
java.time.ZoneOffset;MAX;java.time.ZoneOffset;true;unknown;false;public
sun.security.x509.AlgorithmId;SHA384_oid;sun.security.util.ObjectIdentifier;true;unknown;false;public
sun.security.x509.X500Name;orgName_oid;sun.security.util.ObjectIdentifier;true;unknown;false;public
java.time.LocalDate;EPOCH;java.time.LocalDate;true;unknown;false;public
java.lang.Boolean;TRUE;java.lang.Boolean;true;unknown;false;public
sun.security.provider.certpath.ResponderId$Type;BY_NAME;sun.security.provider.certpath.ResponderId$Type;true;unknown;false;public
java.time.LocalTime;MIDNIGHT;java.time.LocalTime;true;unknown;false;public
sun.net.www.protocol.http.AuthCacheValue$Type;Server;sun.net.www.protocol.http.AuthCacheValue$Type;true;unknown;false;public
sun.security.x509.X500Name;DNQUALIFIER_OID;sun.security.util.ObjectIdentifier;true;unknown;false;public
sun.security.validator.ValidatorException;T_CA_EXTENSIONS;java.lang.Object;true;unknown;false;public
java.lang.Boolean;FALSE;java.lang.Boolean;true;unknown;false;public
sun.security.x509.AlgorithmId;SHA512_oid;sun.security.util.ObjectIdentifier;true;unknown;false;public
java.lang.System$Logger$Level;DEBUG;java.lang.System$Logger$Level;true;unknown;false;public
java.text.MessageFormat$Field;ARGUMENT;java.text.MessageFormat$Field;true;unknown;false;public
java.lang.invoke.VarHandle$AccessMode;SET;java.lang.invoke.VarHandle$AccessMode;true;unknown;false;public
java.security.cert.CRLReason;CESSATION_OF_OPERATION;java.security.cert.CRLReason;true;unknown;false;public
sun.net.ftp.FtpDirEntry$Permission;OTHERS;sun.net.ftp.FtpDirEntry$Permission;true;unknown;false;public
java.lang.invoke.VarHandle$AccessMode;COMPARE_AND_SET;java.lang.invoke.VarHandle$AccessMode;true;unknown;false;public
java.util.Locale;CHINA;java.util.Locale;true;unknown;false;public
java.text.DateFormat$Field;DAY_OF_WEEK_IN_MONTH;java.text.DateFormat$Field;true;unknown;false;public
java.time.format.DateTimeFormatter;ISO_LOCAL_DATE_TIME;java.time.format.DateTimeFormatter;true;unknown;false;public
java.lang.module.ModuleDescriptor$Opens$Modifier;MANDATED;java.lang.module.ModuleDescriptor$Opens$Modifier;true;unknown;false;public
java.text.NumberFormat$Field;EXPONENT_SIGN;java.text.NumberFormat$Field;true;unknown;false;public
sun.net.ftp.FtpReplyCode;SECURITY_EXCHANGE_OK;sun.net.ftp.FtpReplyCode;true;unknown;false;public
java.security.cert.CRLReason;CERTIFICATE_HOLD;java.security.cert.CRLReason;true;unknown;false;public
java.time.OffsetTime;MAX;java.time.OffsetTime;true;unknown;false;public
java.time.temporal.ChronoField;CLOCK_HOUR_OF_DAY;java.time.temporal.ChronoField;true;unknown;false;public
java.time.temporal.ChronoUnit;CENTURIES;java.time.temporal.ChronoUnit;true;unknown;false;public
java.security.cert.CRLReason;AA_COMPROMISE;java.security.cert.CRLReason;true;unknown;false;public
jdk.internal.org.objectweb.asm.tree.analysis.BasicValue;FLOAT_VALUE;jdk.internal.org.objectweb.asm.tree.analysis.BasicValue;true;unknown;false;public
sun.util.logging.PlatformLogger$Level;SEVERE;sun.util.logging.PlatformLogger$Level;true;unknown;false;public
java.time.temporal.ChronoField;OFFSET_SECONDS;java.time.temporal.ChronoField;true;unknown;false;public
java.lang.invoke.VarHandle$AccessMode;SET_OPAQUE;java.lang.invoke.VarHandle$AccessMode;true;unknown;false;public
sun.net.ftp.FtpReplyCode;NOT_IMPLEMENTED_FOR_PARAMETER;sun.net.ftp.FtpReplyCode;true;unknown;false;public
java.time.format.TextStyle;FULL_STANDALONE;java.time.format.TextStyle;true;unknown;false;public
sun.security.x509.AlgorithmId;EC_oid;sun.security.util.ObjectIdentifier;true;unknown;false;public
java.lang.module.ModuleDescriptor$Requires$Modifier;MANDATED;java.lang.module.ModuleDescriptor$Requires$Modifier;true;unknown;false;public
java.net.Proxy$Type;HTTP;java.net.Proxy$Type;true;unknown;false;public
sun.security.x509.AlgorithmId;SHA256_oid;sun.security.util.ObjectIdentifier;true;unknown;false;public
java.security.spec.NamedParameterSpec;X448;java.security.spec.NamedParameterSpec;true;unknown;false;public
java.nio.charset.CodingErrorAction;REPLACE;java.nio.charset.CodingErrorAction;true;unknown;false;public
jdk.internal.reflect.ConstantPool$Tag;LONG;jdk.internal.reflect.ConstantPool$Tag;true;unknown;false;public
sun.nio.cs.ISO_8859_1;INSTANCE;sun.nio.cs.ISO_8859_1;true;unknown;false;public
