benchmark,duration_ns,uptime_ns,vm_start_unix_ms
akka-uct,29501633186,1615854817,1621710223085
akka-uct,20115916962,31676585440,1621710223085
akka-uct,19608649637,52510060217,1621710223085
akka-uct,20726383531,72789753092,1621710223085
akka-uct,20007287213,94121139437,1621710223085
akka-uct,20330624273,114746973094,1621710223085
akka-uct,20228668474,135798612826,1621710223085
akka-uct,23409417374,156772481954,1621710223085
akka-uct,26208756959,180931560965,1621710223085
akka-uct,27416014289,207813010226,1621710223085
akka-uct,28012871460,236039504376,1621710223085
akka-uct,29686304354,264836081004,1621710223085
akka-uct,30583094069,295515187941,1621710223085
akka-uct,30650134267,326929285215,1621710223085
akka-uct,30348203314,358432074974,1621710223085
akka-uct,30214340879,389534181505,1621710223085
akka-uct,33575145734,420659748070,1621710223085
akka-uct,32422495953,455221812024,1621710223085
akka-uct,32054841279,488567538690,1621710223085
akka-uct,31690233060,521412472380,1621710223085
akka-uct,31540003049,553941639096,1621710223085
akka-uct,31735955230,586375593906,1621710223085
akka-uct,32590087552,619013494159,1621710223085
akka-uct,33324893690,652445655179,1621710223085
reactors,42283885170,687018224802,1621710223085
reactors,36484584149,729492421319,1621710223085
reactors,37305800173,766124271903,1621710223085
reactors,35770673462,803633157777,1621710223085
reactors,36907221291,839595821619,1621710223085
reactors,36791291940,876702489293,1621710223085
reactors,36252667897,913668575421,1621710223085
reactors,39026133623,950067636652,1621710223085
reactors,36988924271,989284974708,1621710223085
reactors,35451024956,1026535513764,1621710223085
