benchmark,duration_ns,uptime_ns,vm_start_unix_ms
als,14211778481,6860272320,1621716990543
als,8254373087,21250896824,1621716990543
als,10101029929,29586904168,1621716990543
als,7867320126,39779589157,1621716990543
als,8017539177,47738246707,1621716990543
als,8784275218,55852546591,1621716990543
als,8308696735,64728854814,1621716990543
als,8134593513,73128033576,1621716990543
als,13822898738,81358821727,1621716990543
als,9731162574,95276762775,1621716990543
als,8990753651,105099797182,1621716990543
als,9673003852,114184510541,1621716990543
als,8753090551,123952143745,1621716990543
als,7249679104,132810814588,1621716990543
als,9082699649,140158383472,1621716990543
als,10903800105,149339254853,1621716990543
als,9740019818,160341078535,1621716990543
als,8957584591,170177726248,1621716990543
als,7937942063,179234091557,1621716990543
als,10614642739,187276598107,1621716990543
als,10745532365,198036475147,1621716990543
als,12184907803,208899079986,1621716990543
als,11300011961,221204190804,1621716990543
als,11677603275,232619514533,1621716990543
als,9122987073,244420611924,1621716990543
als,11400019102,253650691666,1621716990543
als,11994469731,265158452017,1621716990543
als,11455841468,277276345546,1621716990543
als,11436081727,288844772217,1621716990543
als,13475821751,300410122781,1621716990543
movie-lens,93788138495,899420170504,1621716990543
movie-lens,88704695400,993480485152,1621716990543
movie-lens,88675097917,1082496886343,1621716990543
movie-lens,87115012590,1171490944717,1621716990543
movie-lens,83573842657,1258883528651,1621716990543
movie-lens,87253263492,1342749699605,1621716990543
movie-lens,87027018069,1430311373484,1621716990543
movie-lens,88410724986,1517651697521,1621716990543
movie-lens,90520016052,1606347694994,1621716990543
movie-lens,88958498216,1697139812217,1621716990543
movie-lens,85118441471,1786401171310,1621716990543
movie-lens,87474686398,1871797748999,1621716990543
movie-lens,87851879248,1959573646714,1621716990543
movie-lens,92554674510,2047715623216,1621716990543
movie-lens,90873979053,2140579225961,1621716990543
movie-lens,94606599142,2231749702416,1621716990543
movie-lens,86033161017,2326617339558,1621716990543
movie-lens,87235222182,2412975785794,1621716990543
movie-lens,88374013305,2500516324565,1621716990543
movie-lens,85284613151,2589209374261,1621716990543
dec-tree,12329891857,463639831334,1621716990543
dec-tree,5924017988,476127749936,1621716990543
dec-tree,5620400317,482192442180,1621716990543
dec-tree,4827582667,487943143688,1621716990543
dec-tree,4509054034,492934289013,1621716990543
dec-tree,5114816066,497606011863,1621716990543
dec-tree,4651117687,502861488088,1621716990543
dec-tree,5068954349,507647902296,1621716990543
dec-tree,5113069753,512883944302,1621716990543
dec-tree,4734020563,518150937833,1621716990543
dec-tree,4574222717,523025834980,1621716990543
dec-tree,4448603992,527725774179,1621716990543
dec-tree,4003111788,532322329207,1621716990543
dec-tree,4256801548,536495664631,1621716990543
dec-tree,4553524141,540913799831,1621716990543
dec-tree,4550130276,545656499500,1621716990543
dec-tree,3948384442,550388474215,1621716990543
dec-tree,3950693586,554484136415,1621716990543
dec-tree,9435953339,558595106707,1621716990543
dec-tree,4180307424,568187510386,1621716990543
dec-tree,4433743511,572530842858,1621716990543
dec-tree,4520220972,577114373547,1621716990543
dec-tree,4439589012,581798083262,1621716990543
dec-tree,4468158006,586417467271,1621716990543
dec-tree,4334533457,591043278603,1621716990543
dec-tree,3917556398,595541715520,1621716990543
dec-tree,4362199261,599612926249,1621716990543
dec-tree,4563567487,604126063314,1621716990543
dec-tree,4716545716,608839873782,1621716990543
dec-tree,3828344437,613711645719,1621716990543
dec-tree,4432938890,617690722099,1621716990543
dec-tree,4593581381,622261463543,1621716990543
dec-tree,4258364809,627037206872,1621716990543
dec-tree,4346216648,631454847729,1621716990543
dec-tree,4151894184,635965040179,1621716990543
dec-tree,4678502786,640289701380,1621716990543
dec-tree,4683983539,645144587055,1621716990543
dec-tree,4643045278,650009347891,1621716990543
dec-tree,4594151310,654836769502,1621716990543
dec-tree,4247814444,659608964021,1621716990543
naive-bayes,21224612433,2681118769800,1621716990543
naive-bayes,9062375687,2702878356692,1621716990543
naive-bayes,9525683868,2712388611921,1621716990543
naive-bayes,8612471311,2722298610307,1621716990543
naive-bayes,8682885275,2731287532016,1621716990543
naive-bayes,9071332321,2740348815636,1621716990543
naive-bayes,8759959371,2749802666021,1621716990543
naive-bayes,8469281027,2758941369601,1621716990543
naive-bayes,8323306285,2767790043568,1621716990543
naive-bayes,8147143225,2776426722675,1621716990543
naive-bayes,8674529177,2784955163391,1621716990543
naive-bayes,8986849945,2794016033012,1621716990543
naive-bayes,8403014795,2803383924161,1621716990543
naive-bayes,8553614270,2812165464477,1621716990543
naive-bayes,8559513068,2821067020858,1621716990543
naive-bayes,8491597366,2829993611030,1621716990543
naive-bayes,8341056100,2838855891893,1621716990543
naive-bayes,8881634185,2847612152001,1621716990543
naive-bayes,9094792502,2856796238463,1621716990543
naive-bayes,8907958521,2866230007920,1621716990543
naive-bayes,8493554927,2875526902391,1621716990543
naive-bayes,8450612025,2884374240385,1621716990543
naive-bayes,8686624979,2893151115958,1621716990543
naive-bayes,8432012559,2902184938551,1621716990543
naive-bayes,8722475262,2910946991639,1621716990543
naive-bayes,9223443879,2919986013267,1621716990543
naive-bayes,8323260870,2929531875497,1621716990543
naive-bayes,8718529251,2938154710657,1621716990543
naive-bayes,8940441026,2947183744638,1621716990543
naive-bayes,8947055268,2956485749399,1621716990543
page-rank,29587843078,2982476815361,1621716990543
page-rank,10284895725,3028955694009,1621716990543
page-rank,10662753140,3057514311904,1621716990543
page-rank,9739845296,3084714882881,1621716990543
page-rank,10023157203,3110343466205,1621716990543
page-rank,9714062527,3135741273659,1621716990543
page-rank,9624626808,3162081056476,1621716990543
page-rank,9657758189,3188906783795,1621716990543
page-rank,9607670492,3215998653410,1621716990543
page-rank,9959429061,3241894038915,1621716990543
page-rank,10597601882,3269023856710,1621716990543
page-rank,10633214656,3297222545950,1621716990543
page-rank,9408137250,3324904988594,1621716990543
page-rank,9454974279,3350752420783,1621716990543
page-rank,9692504006,3377504104532,1621716990543
page-rank,9890944350,3404664382480,1621716990543
page-rank,9773376484,3431634464450,1621716990543
page-rank,10073972590,3457176486277,1621716990543
page-rank,9817267819,3482991053365,1621716990543
page-rank,9722775082,3510049212482,1621716990543
chi-square,7271923401,320657136844,1621716990543
chi-square,2268372826,328170253735,1621716990543
chi-square,2402532104,330641030402,1621716990543
chi-square,2151526226,333285793189,1621716990543
chi-square,2076506735,335617107085,1621716990543
chi-square,2228254098,337869238592,1621716990543
chi-square,2172634963,340279857613,1621716990543
chi-square,2095977432,342634376472,1621716990543
chi-square,2181460588,344904999213,1621716990543
chi-square,2053797095,347273137696,1621716990543
chi-square,2146315816,349494216731,1621716990543
chi-square,2221455827,351819370936,1621716990543
chi-square,2189060909,354227162671,1621716990543
chi-square,2269068344,356616825741,1621716990543
chi-square,1747355464,359060255871,1621716990543
chi-square,1913301703,361017541565,1621716990543
