benchmark,duration_ns,uptime_ns,vm_start_unix_ms
movie-lens,33702438075,772991242014,1621714209562
movie-lens,24828017064,807012205690,1621714209562
movie-lens,25745000298,832184474484,1621714209562
movie-lens,26399881611,858241491973,1621714209562
movie-lens,24673421920,884953225061,1621714209562
movie-lens,24909078237,909926232036,1621714209562
movie-lens,22616409426,935131719345,1621714209562
movie-lens,24894871762,958085503279,1621714209562
movie-lens,24055514381,983289770853,1621714209562
movie-lens,24199015369,1007666531225,1621714209562
movie-lens,22611815360,1032149795078,1621714209562
movie-lens,24798799617,1055083972921,1621714209562
movie-lens,26584037231,1080184742987,1621714209562
movie-lens,26899911858,1107089426761,1621714209562
movie-lens,21127614618,1134296081159,1621714209562
movie-lens,23638018815,1155769436169,1621714209562
movie-lens,25014230272,1179706427872,1621714209562
movie-lens,22434535648,1205017754020,1621714209562
movie-lens,24286689814,1227812888530,1621714209562
movie-lens,25403530040,1252412061020,1621714209562
dec-tree,10558832673,400331255817,1621714209562
dec-tree,4876093105,411028528200,1621714209562
dec-tree,3724104042,416063047853,1621714209562
dec-tree,3640060665,419935560574,1621714209562
dec-tree,3755713699,423716771524,1621714209562
dec-tree,3038561667,427633748338,1621714209562
dec-tree,3125997299,430837345339,1621714209562
dec-tree,3095030379,434111731263,1621714209562
dec-tree,3497461553,437379995721,1621714209562
dec-tree,3260644759,441043484444,1621714209562
dec-tree,3331983811,444447950865,1621714209562
dec-tree,3305825590,447972004564,1621714209562
dec-tree,3538119497,451437770869,1621714209562
dec-tree,3676053154,455134908655,1621714209562
dec-tree,2930391305,458950768490,1621714209562
dec-tree,3403834486,462022556210,1621714209562
dec-tree,3647049889,465586541745,1621714209562
dec-tree,3322701695,469381109679,1621714209562
dec-tree,3007881111,472860921922,1621714209562
dec-tree,2942521793,476010075953,1621714209562
dec-tree,2895109029,479094317966,1621714209562
dec-tree,3172903380,482140783787,1621714209562
dec-tree,3251149855,485465222180,1621714209562
dec-tree,3192966217,488901479244,1621714209562
dec-tree,3387727923,492255348060,1621714209562
dec-tree,3323126841,495807812750,1621714209562
dec-tree,2944699669,499274776686,1621714209562
dec-tree,3550470780,502384299427,1621714209562
dec-tree,2945085468,506109689715,1621714209562
dec-tree,3022465824,509242243138,1621714209562
dec-tree,3598197221,512430428832,1621714209562
dec-tree,3199278177,516182921038,1621714209562
dec-tree,3642456557,519554648110,1621714209562
dec-tree,3397825609,523379807070,1621714209562
