benchmark,duration_ns,uptime_ns,vm_start_unix_ms
db-shootout,13572313978,16844319688,1621721417247
db-shootout,10484274583,30481339128,1621721417247
db-shootout,14149017451,41036762937,1621721417247
db-shootout,30453206946,55265865947,1621721417247
db-shootout,14329096926,85783989362,1621721417247
db-shootout,10583432415,100188476875,1621721417247
db-shootout,17186774816,110838062341,1621721417247
db-shootout,13373400934,128095329151,1621721417247
db-shootout,26835756527,141559751537,1621721417247
db-shootout,10895616157,168471094598,1621721417247
db-shootout,10668728615,179471732592,1621721417247
db-shootout,11946134371,190214594443,1621721417247
db-shootout,24923215935,202256068403,1621721417247
db-shootout,26250020831,227252027358,1621721417247
db-shootout,13946068539,253575889172,1621721417247
db-shootout,18455713112,267604527247,1621721417247
