benchmark,duration_ns,uptime_ns,vm_start_unix_ms
future-genetic,5572448579,221816293172,1621699283945
future-genetic,4567310621,227425888338,1621699283945
future-genetic,4695635396,232027747150,1621699283945
future-genetic,4685609438,236752461008,1621699283945
future-genetic,4677815326,241463868022,1621699283945
future-genetic,4721036642,246175490797,1621699283945
future-genetic,4858489906,250939966750,1621699283945
future-genetic,4787315971,255846646398,1621699283945
future-genetic,5411376273,260678103242,1621699283945
future-genetic,4751119703,266127911323,1621699283945
future-genetic,4777940905,270911266619,1621699283945
future-genetic,6747144177,275716984253,1621699283945
future-genetic,4672764402,282507447418,1621699283945
future-genetic,4656831136,287209731737,1621699283945
future-genetic,4741740190,291898494558,1621699283945
future-genetic,4718852229,296666950992,1621699283945
future-genetic,4750265207,301417551279,1621699283945
future-genetic,4706830121,306211298757,1621699283945
future-genetic,4608688534,310968690100,1621699283945
future-genetic,4651797868,315616974949,1621699283945
future-genetic,4826355495,320311206658,1621699283945
future-genetic,4794528569,325166020965,1621699283945
future-genetic,4835413160,329988470209,1621699283945
future-genetic,4729612534,334865678889,1621699283945
future-genetic,4735219770,339629937224,1621699283945
future-genetic,4669253278,344396937788,1621699283945
future-genetic,4899398833,349096882132,1621699283945
future-genetic,4946607407,354041478579,1621699283945
future-genetic,4623072004,359045296931,1621699283945
future-genetic,4682364443,363711517954,1621699283945
future-genetic,4729208359,368426103864,1621699283945
future-genetic,4740670510,373188520832,1621699283945
future-genetic,4759048577,377971364240,1621699283945
future-genetic,4901477551,382784234938,1621699283945
future-genetic,4846271120,387725552028,1621699283945
future-genetic,4714178193,392604983938,1621699283945
future-genetic,4695574406,397358305900,1621699283945
future-genetic,5046968264,402087005646,1621699283945
future-genetic,4973548895,407185868783,1621699283945
future-genetic,4837157067,412197872626,1621699283945
future-genetic,4663162907,417070068912,1621699283945
future-genetic,5001516474,421771571019,1621699283945
future-genetic,4847286952,426810723450,1621699283945
future-genetic,4792744200,431690589678,1621699283945
future-genetic,4794338610,436516266112,1621699283945
future-genetic,4788870258,441351965120,1621699283945
future-genetic,4813616190,446180306019,1621699283945
future-genetic,5010042022,451041068452,1621699283945
future-genetic,6427919005,456085549896,1621699283945
future-genetic,4987655164,462560064805,1621699283945
fj-kmeans,6916864785,1768988068,1621699283945
fj-kmeans,5819483365,8793125184,1621699283945
fj-kmeans,5813912470,14719283648,1621699283945
fj-kmeans,5901312890,20639616029,1621699283945
fj-kmeans,6758874315,26645687822,1621699283945
fj-kmeans,6001773061,33533796147,1621699283945
fj-kmeans,6214188427,39652960116,1621699283945
fj-kmeans,7752550249,45988595141,1621699283945
fj-kmeans,6853081085,53860939692,1621699283945
fj-kmeans,6632158561,60845546984,1621699283945
fj-kmeans,6908511432,67615722486,1621699283945
fj-kmeans,6940436946,74647559684,1621699283945
fj-kmeans,7364619068,81755352820,1621699283945
fj-kmeans,7063316173,89282574751,1621699283945
fj-kmeans,7585024525,96475227927,1621699283945
fj-kmeans,7438396133,104182363308,1621699283945
fj-kmeans,7117656814,111759901788,1621699283945
fj-kmeans,7374524713,119040706139,1621699283945
fj-kmeans,7567891904,126590986504,1621699283945
fj-kmeans,7304154173,134318873181,1621699283945
fj-kmeans,7412139655,141774556677,1621699283945
fj-kmeans,7502272876,149320137860,1621699283945
fj-kmeans,7650731829,156994068642,1621699283945
fj-kmeans,7376466172,164792401781,1621699283945
fj-kmeans,11659515994,172327608304,1621699283945
fj-kmeans,7220904947,184116038746,1621699283945
fj-kmeans,7321349925,191506070123,1621699283945
fj-kmeans,7374570821,198989247830,1621699283945
fj-kmeans,7331413521,206501550163,1621699283945
fj-kmeans,7587465518,214003304950,1621699283945
