benchmark,duration_ns,uptime_ns,vm_start_unix_ms
par-mnemonics,6689574423,130428376334,1621701137766
par-mnemonics,6360591255,137625721342,1621701137766
par-mnemonics,6301177703,144395973113,1621701137766
par-mnemonics,6360507237,151245313123,1621701137766
par-mnemonics,6434612950,158029394803,1621701137766
par-mnemonics,6261789056,164891370107,1621701137766
par-mnemonics,6381813347,171556551618,1621701137766
par-mnemonics,6328831053,178368821369,1621701137766
par-mnemonics,6537042345,185124223111,1621701137766
par-mnemonics,6393721787,192117727920,1621701137766
par-mnemonics,6490588665,198984633010,1621701137766
par-mnemonics,6262227869,205920423075,1621701137766
par-mnemonics,6383727777,212601511325,1621701137766
par-mnemonics,6393058082,219404794675,1621701137766
par-mnemonics,6299150227,226205371325,1621701137766
par-mnemonics,6367486352,232914033132,1621701137766
scrabble,1417730922,240743473199,1621701137766
scrabble,1035612610,242335678828,1621701137766
scrabble,1027685415,243500448342,1621701137766
scrabble,1074763871,244649308299,1621701137766
scrabble,1114853363,245851602470,1621701137766
scrabble,1067057235,247093093088,1621701137766
scrabble,986549399,248283240484,1621701137766
scrabble,1092021915,249387839441,1621701137766
scrabble,1067195230,250607687629,1621701137766
scrabble,1085671748,251800723497,1621701137766
scrabble,1087528522,253006101863,1621701137766
scrabble,1053507180,254214541987,1621701137766
scrabble,1070835620,255414703316,1621701137766
scrabble,1034641574,256609533876,1621701137766
scrabble,1040478318,257770792419,1621701137766
scrabble,1089227252,258942243900,1621701137766
scrabble,1089187420,260173041326,1621701137766
scrabble,1078990856,261386589378,1621701137766
scrabble,1052129098,262592942400,1621701137766
scrabble,1087244883,263771826106,1621701137766
scrabble,998914550,264984121130,1621701137766
scrabble,1038192697,266114952766,1621701137766
scrabble,988915700,267277579198,1621701137766
scrabble,1075930658,268391007020,1621701137766
scrabble,1026672190,269588835095,1621701137766
scrabble,1007151965,270738543377,1621701137766
scrabble,1061110719,271872858170,1621701137766
scrabble,1564738565,273060848224,1621701137766
scrabble,1027143357,274747324587,1621701137766
scrabble,1087627026,275881365310,1621701137766
scrabble,984200886,277094865293,1621701137766
scrabble,1038050599,278204601250,1621701137766
scrabble,992674140,279367364393,1621701137766
scrabble,1019258169,280481447558,1621701137766
scrabble,1025474511,281620912133,1621701137766
scrabble,944534831,282762078435,1621701137766
scrabble,965975515,283817385992,1621701137766
scrabble,1041822321,284898942541,1621701137766
scrabble,1071655858,286057551349,1621701137766
scrabble,1019583730,287254159086,1621701137766
scrabble,1037317026,288396525651,1621701137766
scrabble,1060461131,289566626273,1621701137766
scrabble,1032775905,290746469611,1621701137766
scrabble,1228524522,291901328328,1621701137766
scrabble,1007854972,293252718503,1621701137766
scrabble,1026710192,294365547209,1621701137766
scrabble,1011884026,295510182644,1621701137766
scrabble,1067833197,296646518227,1621701137766
scrabble,1068465491,297843953052,1621701137766
scrabble,1131178617,299022953561,1621701137766
mnemonics,6508552118,1212614635,1621701137766
mnemonics,7415263673,8337005820,1621701137766
mnemonics,7467265107,16171220860,1621701137766
mnemonics,7585358668,24034186949,1621701137766
mnemonics,7502881346,32073229570,1621701137766
mnemonics,7454363144,39988033924,1621701137766
mnemonics,7507182275,47846841926,1621701137766
mnemonics,7611356464,55769552693,1621701137766
mnemonics,7791514059,63800497169,1621701137766
mnemonics,7716670649,72008810850,1621701137766
mnemonics,7636440423,80155454727,1621701137766
mnemonics,9376361967,88239510121,1621701137766
mnemonics,7618873425,98002660070,1621701137766
mnemonics,7535004855,106115986680,1621701137766
mnemonics,7630327083,114057185975,1621701137766
mnemonics,7740801325,122114133577,1621701137766
