benchmark,duration_ns,uptime_ns,vm_start_unix_ms
akka-uct,34453906954,1567888113,1621711473173
akka-uct,29674499277,36778664394,1621711473173
akka-uct,33498155364,67053583614,1621711473173
akka-uct,40973070240,101380731477,1621711473173
akka-uct,42583330030,142949487116,1621711473173
akka-uct,44018474553,186290733495,1621711473173
akka-uct,43626981341,231049806061,1621711473173
akka-uct,46081101502,275338705943,1621711473173
akka-uct,47489388724,321936511755,1621711473173
akka-uct,47752814705,370037102569,1621711473173
akka-uct,45720974982,418502361695,1621711473173
akka-uct,44940297334,464896102807,1621711473173
akka-uct,47152285148,510772031210,1621711473173
akka-uct,45620914058,558607915431,1621711473173
akka-uct,47230510376,604857473410,1621711473173
akka-uct,47551517917,652833873180,1621711473173
akka-uct,48690050121,701251045294,1621711473173
akka-uct,47786091616,750468532805,1621711473173
akka-uct,47676902292,798996404791,1621711473173
akka-uct,46501390778,847475230939,1621711473173
akka-uct,47676992878,894635116436,1621711473173
akka-uct,48197217289,942998644491,1621711473173
akka-uct,47377636289,992167235718,1621711473173
akka-uct,46497545857,1040182247048,1621711473173
reactors,48014016657,1087581867123,1621711473173
reactors,40318846789,1135790582832,1621711473173
reactors,40393003500,1176260134575,1621711473173
reactors,39356104566,1216860242203,1621711473173
reactors,44893925095,1256371131854,1621711473173
reactors,40158087630,1301428124397,1621711473173
reactors,40585858553,1341731453108,1621711473173
reactors,40636752028,1382519365108,1621711473173
reactors,40598330311,1423292407444,1621711473173
reactors,40913688321,1464041576266,1621711473173
