benchmark,duration_ns,uptime_ns,vm_start_unix_ms
db-shootout,12908096031,16709657260,1621721090075
db-shootout,10821705106,29683174814,1621721090075
db-shootout,23993272896,40567548113,1621721090075
db-shootout,20146164332,64624124908,1621721090075
db-shootout,12936345088,84843459591,1621721090075
db-shootout,12524600241,97856272089,1621721090075
db-shootout,22034828689,110477226077,1621721090075
db-shootout,34500858642,132629735166,1621721090075
db-shootout,14800617315,167221445276,1621721090075
db-shootout,15982025403,182145234901,1621721090075
db-shootout,15013800013,198200446670,1621721090075
db-shootout,9441294191,213299156320,1621721090075
db-shootout,9846807376,222823106995,1621721090075
db-shootout,9743457276,232744213400,1621721090075
db-shootout,16982850156,242552592767,1621721090075
db-shootout,10826476684,259621148325,1621721090075
