benchmark,duration_ns,uptime_ns,vm_start_unix_ms
finagle-chirper,16743346451,4713263099,1621708352015
finagle-chirper,9745273830,21535410247,1621708352015
finagle-chirper,9377178369,31348973078,1621708352015
finagle-chirper,9070082206,40791465676,1621708352015
finagle-chirper,8794387723,49929495605,1621708352015
finagle-chirper,8659191528,58796241451,1621708352015
finagle-chirper,8660023270,67520025656,1621708352015
finagle-chirper,8522997996,76249265478,1621708352015
finagle-chirper,8329264011,84858703377,1621708352015
finagle-chirper,8190698635,93257830656,1621708352015
finagle-chirper,8345124884,101520644373,1621708352015
finagle-chirper,8136250954,109933630083,1621708352015
finagle-chirper,8047704841,118147669570,1621708352015
finagle-chirper,8055038718,126270300235,1621708352015
finagle-chirper,7907682560,134397671812,1621708352015
finagle-chirper,7913005390,142388448100,1621708352015
finagle-chirper,8030649314,150378021960,1621708352015
finagle-chirper,7867048458,158479497805,1621708352015
finagle-chirper,7731606941,166416985845,1621708352015
finagle-chirper,8114659906,174226081209,1621708352015
finagle-chirper,8071274768,182448070331,1621708352015
finagle-chirper,8211148812,190628364730,1621708352015
finagle-chirper,8299636496,198917685728,1621708352015
finagle-chirper,8692914772,207295902226,1621708352015
finagle-chirper,8740148154,216073297709,1621708352015
finagle-chirper,9110356554,224927933611,1621708352015
finagle-chirper,9099285943,234124719923,1621708352015
finagle-chirper,9160800459,243320270832,1621708352015
finagle-chirper,9304030137,252563987054,1621708352015
finagle-chirper,9149379717,261978769672,1621708352015
finagle-chirper,9164338348,271228499876,1621708352015
finagle-chirper,9250870231,280474456267,1621708352015
finagle-chirper,9398520223,289819952933,1621708352015
finagle-chirper,9558970426,299297435176,1621708352015
finagle-chirper,9165903305,308947501570,1621708352015
finagle-chirper,9332295311,318203080531,1621708352015
finagle-chirper,9736447058,327623067668,1621708352015
finagle-chirper,9216691873,337448222463,1621708352015
finagle-chirper,9436381963,346760538998,1621708352015
finagle-chirper,9221191424,356296869009,1621708352015
finagle-chirper,9382389837,365599249266,1621708352015
finagle-chirper,9239281071,375082311537,1621708352015
finagle-chirper,9013269153,384403653946,1621708352015
finagle-chirper,9140280562,393527652706,1621708352015
finagle-chirper,9174412717,402765852373,1621708352015
finagle-chirper,9177594930,412045195278,1621708352015
finagle-chirper,9446510486,421310663099,1621708352015
finagle-chirper,9290329502,430869517294,1621708352015
finagle-chirper,9587827618,440269682845,1621708352015
finagle-chirper,9447205713,449939648879,1621708352015
finagle-chirper,9081776797,459485085114,1621708352015
finagle-chirper,9346233426,468649323941,1621708352015
finagle-chirper,9446268115,478091732965,1621708352015
finagle-chirper,9524869292,487630792025,1621708352015
finagle-chirper,9483371501,497252240746,1621708352015
finagle-chirper,9521767555,506835430765,1621708352015
finagle-chirper,9492631334,516463827813,1621708352015
finagle-chirper,9269136647,526048492551,1621708352015
finagle-chirper,9481810187,535404648314,1621708352015
finagle-chirper,9121250374,544974116703,1621708352015
finagle-chirper,9143459059,554195518101,1621708352015
finagle-chirper,9012954828,563453633553,1621708352015
finagle-chirper,8758897309,572565636748,1621708352015
finagle-chirper,8861236230,581421410568,1621708352015
finagle-chirper,8794832817,590367120215,1621708352015
finagle-chirper,9000999335,599250620928,1621708352015
finagle-chirper,9085976613,608359358906,1621708352015
finagle-chirper,9226211963,617550530711,1621708352015
finagle-chirper,9178764814,626867945177,1621708352015
finagle-chirper,9192922858,636142258448,1621708352015
finagle-chirper,9087607055,645425721080,1621708352015
finagle-chirper,8994028824,654621588919,1621708352015
finagle-chirper,9047883087,663723806747,1621708352015
finagle-chirper,8899886951,672847624511,1621708352015
finagle-chirper,8988952832,681846619478,1621708352015
finagle-chirper,9074994603,690934812480,1621708352015
finagle-chirper,9252632889,700110759904,1621708352015
finagle-chirper,9343731591,709466529922,1621708352015
finagle-chirper,9001529793,718911971661,1621708352015
finagle-chirper,8958704049,728019322336,1621708352015
finagle-chirper,9185112525,737085841662,1621708352015
finagle-chirper,8906942675,746362667049,1621708352015
finagle-chirper,9191063105,755370902756,1621708352015
finagle-chirper,8843709211,764669645553,1621708352015
finagle-chirper,9548741703,773603943181,1621708352015
finagle-chirper,9658210843,783251779077,1621708352015
finagle-chirper,9336482741,793013126613,1621708352015
finagle-chirper,8793727799,802452719525,1621708352015
finagle-chirper,8821412630,811326255706,1621708352015
finagle-chirper,9189027814,820254463952,1621708352015
finagle-http,22410403982,832196958909,1621708352015
finagle-http,16196765449,854775640450,1621708352015
finagle-http,15278086411,871078843762,1621708352015
finagle-http,15343832971,886466313229,1621708352015
finagle-http,14829580401,901917249862,1621708352015
finagle-http,14606410036,916839867674,1621708352015
finagle-http,14282340154,931536297371,1621708352015
finagle-http,14655032215,945915213994,1621708352015
finagle-http,14780780414,960673189805,1621708352015
finagle-http,14618158354,975550121471,1621708352015
finagle-http,14179792800,990282666903,1621708352015
finagle-http,14414226722,1004562704009,1621708352015
