benchmark,duration_ns,uptime_ns,vm_start_unix_ms
finagle-chirper,16467467155,4425711268,1621706711943
finagle-chirper,9879991499,20986365520,1621706711943
finagle-chirper,9378030399,30938487050,1621706711943
finagle-chirper,9150007974,40398972916,1621706711943
finagle-chirper,8863480693,49626298447,1621706711943
finagle-chirper,8761623655,58557304236,1621706711943
finagle-chirper,8707384234,67385956120,1621706711943
finagle-chirper,8531107963,76185395527,1621706711943
finagle-chirper,8427648370,84793576090,1621706711943
finagle-chirper,8289009930,93285666469,1621706711943
finagle-chirper,8494633917,101644886317,1621706711943
finagle-chirper,8212050207,110220661948,1621706711943
finagle-chirper,8186406732,118504520672,1621706711943
finagle-chirper,8209334126,126764508045,1621706711943
finagle-chirper,8295435003,135051823286,1621706711943
finagle-chirper,7973997509,143417144325,1621706711943
finagle-chirper,7985085582,151471606223,1621706711943
finagle-chirper,7918995448,159541186990,1621706711943
finagle-chirper,7769384233,167524292288,1621706711943
finagle-chirper,7711093950,175367046500,1621706711943
finagle-chirper,7836780250,183152038605,1621706711943
finagle-chirper,7921867547,191058565909,1621706711943
finagle-chirper,7717154187,199058140022,1621706711943
finagle-chirper,7724171134,206845701739,1621706711943
finagle-chirper,7825587526,214639748954,1621706711943
finagle-chirper,8024215612,222536044980,1621706711943
finagle-chirper,8395881920,230648957059,1621706711943
finagle-chirper,8475990927,239117818783,1621706711943
finagle-chirper,8522681990,247674863297,1621706711943
finagle-chirper,8533336106,256281807848,1621706711943
finagle-chirper,8770144290,264890296351,1621706711943
finagle-chirper,8916585959,273745871670,1621706711943
finagle-chirper,9061916417,282749476571,1621706711943
finagle-chirper,9072857316,291896222137,1621706711943
finagle-chirper,9092932411,301048129080,1621706711943
finagle-chirper,9263322446,310245337518,1621706711943
finagle-chirper,9273927366,319606776832,1621706711943
finagle-chirper,9092608880,328981626457,1621706711943
finagle-chirper,9284335805,338170703496,1621706711943
finagle-chirper,9023668020,347529943935,1621706711943
finagle-chirper,9341215183,356629762106,1621706711943
finagle-chirper,9070101556,366050021237,1621706711943
finagle-chirper,9000386095,375216789163,1621706711943
finagle-chirper,8897414788,384295876052,1621706711943
finagle-chirper,9211012423,393300264699,1621706711943
finagle-chirper,8928786466,402595829666,1621706711943
finagle-chirper,9211112992,411630750104,1621706711943
finagle-chirper,9246529328,420936383453,1621706711943
finagle-chirper,9400296081,430271927634,1621706711943
finagle-chirper,9350300483,439781494401,1621706711943
finagle-chirper,9204662991,449228089656,1621706711943
finagle-chirper,9148178079,458525538538,1621706711943
finagle-chirper,8961635053,467770390327,1621706711943
finagle-chirper,9144927534,476817529823,1621706711943
finagle-chirper,9433997753,486076470241,1621706711943
finagle-chirper,9167407730,495623660493,1621706711943
finagle-chirper,9172020348,504869365844,1621706711943
finagle-chirper,9157916597,514126110711,1621706711943
finagle-chirper,9102596716,523375339907,1621706711943
finagle-chirper,8857137695,532591103675,1621706711943
finagle-chirper,8902098863,541537998219,1621706711943
finagle-chirper,9145303493,550524368181,1621706711943
finagle-chirper,9029044989,559753920414,1621706711943
finagle-chirper,9165161550,568879551595,1621706711943
finagle-chirper,8996651756,578130104686,1621706711943
finagle-chirper,8861076892,587223372139,1621706711943
finagle-chirper,9203336049,596168513438,1621706711943
finagle-chirper,9395659031,605479325255,1621706711943
finagle-chirper,9044486842,614975300356,1621706711943
finagle-chirper,9267891584,624116374769,1621706711943
finagle-chirper,9412961732,633467388600,1621706711943
finagle-chirper,9367768851,642990987960,1621706711943
finagle-chirper,9341367459,652475399585,1621706711943
finagle-chirper,9227531214,661914147249,1621706711943
finagle-chirper,8831464220,671226453665,1621706711943
finagle-chirper,8879951316,680144828950,1621706711943
finagle-chirper,9220283770,689131413094,1621706711943
finagle-chirper,8957533545,698442800373,1621706711943
finagle-chirper,9344119117,707482861560,1621706711943
finagle-chirper,9182923867,716920983926,1621706711943
finagle-chirper,9257724442,726223179295,1621706711943
finagle-chirper,9227313576,735571600037,1621706711943
finagle-chirper,8933703379,744877080815,1621706711943
finagle-chirper,9007721613,753908047259,1621706711943
finagle-chirper,9251823933,763001080481,1621706711943
finagle-chirper,9182594343,772348629199,1621706711943
finagle-chirper,9126984039,781612932274,1621706711943
finagle-chirper,8868929399,790852207472,1621706711943
finagle-chirper,8844487055,799822018993,1621706711943
finagle-chirper,8939383898,808760762404,1621706711943
finagle-http,21472857347,820218331564,1621706711943
finagle-http,14140505934,841787400227,1621706711943
finagle-http,14500294952,856044259726,1621706711943
finagle-http,14179523302,870625275395,1621706711943
finagle-http,14328158081,884903296256,1621706711943
finagle-http,14006176315,899324851285,1621706711943
finagle-http,14125412841,913449529576,1621706711943
finagle-http,13933586955,927651814816,1621706711943
finagle-http,13895074747,941683734956,1621706711943
finagle-http,14125324078,955677049118,1621706711943
finagle-http,14213160170,969908202656,1621706711943
finagle-http,14022679207,984233290534,1621706711943
