benchmark,duration_ns,uptime_ns,vm_start_unix_ms
rx-scrabble,1327357779,2354017686,1621723023907
rx-scrabble,714470593,3825450582,1621723023907
rx-scrabble,478463298,4651529467,1621723023907
rx-scrabble,571135936,5214718785,1621723023907
rx-scrabble,460447366,5858642161,1621723023907
rx-scrabble,509514516,6410803777,1621723023907
rx-scrabble,452252605,7037019452,1621723023907
rx-scrabble,461273524,7564189818,1621723023907
rx-scrabble,473831200,8109551765,1621723023907
rx-scrabble,468060008,8678259650,1621723023907
rx-scrabble,438874624,9216554057,1621723023907
rx-scrabble,450932143,9733431852,1621723023907
rx-scrabble,443525933,10250489838,1621723023907
rx-scrabble,477460485,10790826454,1621723023907
rx-scrabble,448758641,11337625066,1621723023907
rx-scrabble,565337630,11919328102,1621723023907
rx-scrabble,526174428,12559875178,1621723023907
rx-scrabble,540101269,13189276107,1621723023907
rx-scrabble,510580602,13802233690,1621723023907
rx-scrabble,555486828,14439569672,1621723023907
rx-scrabble,503738689,15070954852,1621723023907
rx-scrabble,538571127,15693724639,1621723023907
rx-scrabble,510025713,16297023500,1621723023907
rx-scrabble,549878534,16945062869,1621723023907
rx-scrabble,510501239,17589889259,1621723023907
rx-scrabble,592889082,18195867089,1621723023907
rx-scrabble,532018466,18887103654,1621723023907
rx-scrabble,597484427,19547126092,1621723023907
rx-scrabble,500882124,20232830343,1621723023907
rx-scrabble,539881998,20831042157,1621723023907
rx-scrabble,532639812,21457858194,1621723023907
rx-scrabble,492480078,22085710398,1621723023907
rx-scrabble,524609451,22688203658,1621723023907
rx-scrabble,552153674,23271010572,1621723023907
rx-scrabble,524445390,23900289690,1621723023907
rx-scrabble,541541110,24522940394,1621723023907
rx-scrabble,512310512,25159229622,1621723023907
rx-scrabble,518256770,25734362744,1621723023907
rx-scrabble,554249794,26333674830,1621723023907
rx-scrabble,543277384,26967484887,1621723023907
rx-scrabble,572590936,27616384056,1621723023907
rx-scrabble,552912734,28277963557,1621723023907
rx-scrabble,527608089,28902386251,1621723023907
rx-scrabble,617582064,29566695641,1621723023907
rx-scrabble,605618218,30265792586,1621723023907
rx-scrabble,542739135,30934662678,1621723023907
rx-scrabble,504217786,31568974007,1621723023907
rx-scrabble,529931665,32208906935,1621723023907
rx-scrabble,522622128,32800270849,1621723023907
rx-scrabble,536102777,33448305718,1621723023907
rx-scrabble,552927859,34077051640,1621723023907
rx-scrabble,503732364,34696296092,1621723023907
rx-scrabble,523250620,35273712513,1621723023907
rx-scrabble,553996244,35894273091,1621723023907
rx-scrabble,538671701,36528974466,1621723023907
rx-scrabble,538460901,37143228567,1621723023907
rx-scrabble,504830668,37743693846,1621723023907
rx-scrabble,535922199,38330636981,1621723023907
rx-scrabble,516566842,38958079790,1621723023907
rx-scrabble,511710176,39559190032,1621723023907
rx-scrabble,534597686,40185764718,1621723023907
rx-scrabble,561001302,40788678027,1621723023907
rx-scrabble,522854681,41435082206,1621723023907
rx-scrabble,510670715,42072258999,1621723023907
rx-scrabble,601160494,42684657852,1621723023907
rx-scrabble,575328761,43346792885,1621723023907
rx-scrabble,509297943,44013725840,1621723023907
rx-scrabble,539636365,44611130298,1621723023907
rx-scrabble,511066041,45215480860,1621723023907
rx-scrabble,569303317,45811042611,1621723023907
rx-scrabble,511234353,46458521091,1621723023907
rx-scrabble,512848380,47059936269,1621723023907
rx-scrabble,531718959,47659823681,1621723023907
rx-scrabble,513697240,48257411760,1621723023907
rx-scrabble,614311751,48853470349,1621723023907
rx-scrabble,544858308,49553418461,1621723023907
rx-scrabble,508227225,50182119723,1621723023907
rx-scrabble,550289101,50774527738,1621723023907
rx-scrabble,547040191,51393422361,1621723023907
rx-scrabble,536738370,52070869541,1621723023907
