benchmark,duration_ns,uptime_ns,vm_start_unix_ms
rx-scrabble,1393564248,2409110287,1621722842799
rx-scrabble,757034447,3944190813,1621722842799
rx-scrabble,481776958,4781271183,1621722842799
rx-scrabble,458858518,5343621894,1621722842799
rx-scrabble,422315105,5877668327,1621722842799
rx-scrabble,447568005,6370334278,1621722842799
rx-scrabble,455583556,6890437690,1621722842799
rx-scrabble,438665800,7432079146,1621722842799
rx-scrabble,481440859,7945093140,1621722842799
rx-scrabble,458603237,8511239471,1621722842799
rx-scrabble,512627534,9094611866,1621722842799
rx-scrabble,465344192,9686398724,1621722842799
rx-scrabble,419420797,10229210701,1621722842799
rx-scrabble,464034453,10722305045,1621722842799
rx-scrabble,423167956,11270445928,1621722842799
rx-scrabble,457551148,11766371508,1621722842799
rx-scrabble,518189045,12313417856,1621722842799
rx-scrabble,487653851,12898388063,1621722842799
rx-scrabble,531493729,13476474634,1621722842799
rx-scrabble,533970888,14111304284,1621722842799
rx-scrabble,501772825,14757170354,1621722842799
rx-scrabble,499615594,15328535685,1621722842799
rx-scrabble,527777922,15906318222,1621722842799
rx-scrabble,531999047,16516859578,1621722842799
rx-scrabble,498088244,17157100196,1621722842799
rx-scrabble,531920201,17744369050,1621722842799
rx-scrabble,500647321,18343616383,1621722842799
rx-scrabble,530290378,18926618281,1621722842799
rx-scrabble,536954241,19540749306,1621722842799
rx-scrabble,500855824,20175676868,1621722842799
rx-scrabble,502126280,20747953326,1621722842799
rx-scrabble,505639272,21313392404,1621722842799
rx-scrabble,519806452,21878624773,1621722842799
rx-scrabble,528797756,22468322020,1621722842799
rx-scrabble,511280357,23098220762,1621722842799
rx-scrabble,497821509,23693193375,1621722842799
rx-scrabble,493694155,24278557031,1621722842799
rx-scrabble,528484511,24847946981,1621722842799
rx-scrabble,497719805,25439227277,1621722842799
rx-scrabble,567810733,26025589719,1621722842799
rx-scrabble,513690249,26709042027,1621722842799
rx-scrabble,531262518,27312471984,1621722842799
rx-scrabble,505104472,27904100462,1621722842799
rx-scrabble,522822450,28469602099,1621722842799
rx-scrabble,534137714,29085750242,1621722842799
rx-scrabble,496366730,29722296794,1621722842799
rx-scrabble,532893489,30317027099,1621722842799
rx-scrabble,529596945,30920109322,1621722842799
rx-scrabble,522365148,31549895226,1621722842799
rx-scrabble,501473774,32159257487,1621722842799
rx-scrabble,496315807,32787939153,1621722842799
rx-scrabble,666577957,33376724438,1621722842799
rx-scrabble,512829880,34105634212,1621722842799
rx-scrabble,495777500,34715761229,1621722842799
rx-scrabble,499984518,35291756730,1621722842799
rx-scrabble,529503846,35862998364,1621722842799
rx-scrabble,515830565,36460470928,1621722842799
rx-scrabble,552477129,37109273777,1621722842799
rx-scrabble,501218343,37730270515,1621722842799
rx-scrabble,517710440,38302267549,1621722842799
rx-scrabble,528339831,38901894279,1621722842799
rx-scrabble,495097034,39499260893,1621722842799
rx-scrabble,505303400,40095593104,1621722842799
rx-scrabble,508196881,40714460300,1621722842799
rx-scrabble,522565423,41320615277,1621722842799
rx-scrabble,533624638,41912478272,1621722842799
rx-scrabble,511420786,42547329402,1621722842799
rx-scrabble,536590348,43167007669,1621722842799
rx-scrabble,496126422,43772314488,1621722842799
rx-scrabble,531806025,44349572432,1621722842799
rx-scrabble,495914713,44944712812,1621722842799
rx-scrabble,509895180,45529052006,1621722842799
rx-scrabble,539566156,46118240356,1621722842799
rx-scrabble,504912087,46735238833,1621722842799
rx-scrabble,501958674,47298458940,1621722842799
rx-scrabble,495328904,47872140027,1621722842799
rx-scrabble,664319479,48433492768,1621722842799
rx-scrabble,513218324,49168028185,1621722842799
rx-scrabble,504748884,49749766073,1621722842799
rx-scrabble,527810522,50345323367,1621722842799
